date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2007-11-28,MUNDRAPORT,EQ,962.9,984.0,990.0,874.0,885.0,893.9,941.38,4581338,431276530165000.0,1453278,0.3172,2007,11,28,2,False,False,,,,,,
2007-11-29,MUNDRAPORT,EQ,893.9,909.0,914.75,841.0,887.0,884.2,888.09,5124121,455065846265000.0,1069678,0.2087999999999999,2007,11,29,3,False,False,,,,,893.9,
2007-11-30,MUNDRAPORT,EQ,884.2,890.0,958.0,890.0,929.0,921.55,929.17,4609762,428325662830000.0,1260913,0.2735,2007,11,30,4,False,True,,,,,884.2,
2007-12-03,MUNDRAPORT,EQ,921.55,939.75,995.0,922.0,980.0,969.3,965.65,2977470,287519974300000.0,816123,0.2741,2007,12,3,0,False,False,,,,,921.55,893.9
2007-12-04,MUNDRAPORT,EQ,969.3,985.0,1056.0,976.0,1049.0,1041.45,1015.39,4849250,492386736075000.0,1537667,0.3171,2007,12,4,1,False,False,942.0799999999999,,4428388.2,,969.3,884.2
2007-12-05,MUNDRAPORT,EQ,1041.45,1061.0,1099.5,1050.0,1084.0,1082.45,1082.79,2848209,308400973015000.0,904260,0.3175,2007,12,5,2,False,False,979.79,,4081762.4,,1041.45,921.55
2007-12-06,MUNDRAPORT,EQ,1082.45,1089.0,1109.7,1051.0,1090.1,1081.3,1087.03,1749516,190177114020000.0,825691,0.472,2007,12,6,3,False,False,1019.21,,3406841.4,,1082.45,969.3
2007-12-07,MUNDRAPORT,EQ,1081.3,1100.0,1134.0,1078.0,1100.0,1102.4,1106.57,2247904,248746530710000.0,697763,0.3104,2007,12,7,4,False,False,1055.3799999999999,,2934469.8,,1081.3,1041.45
2007-12-10,MUNDRAPORT,EQ,1102.4,1110.0,1110.0,1061.1,1073.55,1075.4,1080.38,1012350,109372679359999.98,417514,0.4124,2007,12,10,0,False,False,1076.6,,2541445.8,,1102.4,1082.45
2007-12-11,MUNDRAPORT,EQ,1075.4,1081.0,1089.0,1041.0,1046.0,1047.65,1067.8,810464,86541556460000.0,415191,0.5123,2007,12,11,1,False,False,1077.8400000000001,,1733688.6,84.55042151153236,1075.4,1081.3
2007-12-12,MUNDRAPORT,EQ,1047.65,1032.0,1065.0,1016.0,1036.9,1036.8,1043.92,744799,77751369165000.0,363848,0.4885,2007,12,12,2,False,False,1068.71,,1313006.6,74.1974730027918,1047.65,1102.4
2007-12-14,MUNDRAPORT,EQ,1129.95,1139.9,1140.0,1101.1,1107.0,1110.5,1119.55,1070737,119874627765000.02,525239,0.4905,2007,12,14,4,False,False,1074.55,,1177250.8,59.862134201105206,1036.8,1075.4
2007-12-17,MUNDRAPORT,EQ,1110.5,1140.0,1168.0,1021.5,1052.0,1044.25,1102.42,1404955,154884767715000.0,670298,0.4771,2007,12,17,0,False,False,1062.92,,1008661.0,40.886095164221686,1110.5,1047.65
2007-12-18,MUNDRAPORT,EQ,1044.25,1045.0,1109.9,1031.55,1085.0,1074.95,1077.84,1226984,132249513309999.98,449420,0.3663,2007,12,18,1,False,False,1062.83,,1051587.8,26.04585752945093,1044.25,1036.8
2007-12-19,MUNDRAPORT,EQ,1074.95,1091.0,1116.0,1046.3,1078.0,1066.9,1082.93,845666,91579757645000.0,344171,0.407,2007,12,19,2,False,False,1066.68,,1058628.2,24.15165970832393,1074.95,1110.5
2007-12-20,MUNDRAPORT,EQ,1066.9,1083.5,1083.5,1051.0,1067.0,1060.2,1065.52,623288,66412706110000.0,276356,0.4434,2007,12,20,3,False,False,1071.3600000000001,,1034326.0,24.13348354004842,1066.9,1044.25
2008-01-11,MUNDRAPORT,EQ,1121.55,1128.0,1130.0,1063.0,1096.0,1085.85,1087.78,616938,67109272025000.0,312121,0.5059,2008,1,11,4,False,False,1066.43,,943566.2,24.41076492952351,1060.2,1074.95
2008-01-14,MUNDRAPORT,EQ,1085.85,1082.4,1082.4,1031.1,1035.0,1035.15,1042.4,835916,87135710755000.0,570824,0.6829000000000001,2008,1,14,0,False,False,1064.6100000000001,,829758.4,23.9011395590718,1085.85,1066.9
2008-01-15,MUNDRAPORT,EQ,1035.15,1045.6,1078.7,1036.05,1057.0,1049.55,1050.69,830493,87259337110000.0,504259,0.6072,2008,1,15,1,False,False,1059.5300000000002,,750460.2,23.900839129853022,1035.15,1060.2
2008-01-16,MUNDRAPORT,EQ,1049.55,1046.0,1064.0,1000.0,1038.3,1030.4,1032.86,816188,84300609685000.0,478517,0.5863,2008,1,16,2,False,False,1052.23,1034.7075,744564.6,25.55134754002442,1049.55,1085.85
2008-01-17,MUNDRAPORT,EQ,1030.4,1050.0,1053.5,1011.0,1014.95,1020.9,1033.73,336003,34733490900000.0,145194,0.4321,2008,1,17,3,False,False,1044.3700000000001,1041.0575,687107.6,27.535432224277468,1030.4,1035.15
2008-01-18,MUNDRAPORT,EQ,1020.9,1010.0,1072.0,974.9,995.0,994.6,1022.57,676854,69213280915000.0,278615,0.4115999999999999,2008,1,18,4,False,False,1026.1200000000001,1046.5775,699090.8,27.3100230888058,1020.9,1049.55
2008-01-21,MUNDRAPORT,EQ,994.6,995.0,1005.0,795.7,853.0,825.05,880.77,788623,69459899854999.99,474223,0.6013000000000001,2008,1,21,0,False,False,984.1,1041.7525,689632.2,75.16210056345616,994.6,1030.4
2008-01-22,MUNDRAPORT,EQ,825.05,700.0,810.0,660.05,739.0,735.55,703.2,546161,38406113705000.0,376194,0.6888,2008,1,22,1,False,False,921.3,1030.065,632765.8,115.55340768570069,825.05,1020.9
2008-01-23,MUNDRAPORT,EQ,735.55,760.0,881.9,760.0,862.2,857.0,818.67,535462,43836526980000.0,283881,0.5302,2008,1,23,2,False,False,886.6200000000001,1020.8425,576620.6,119.12510522322494,735.55,994.6
2008-01-24,MUNDRAPORT,EQ,857.0,875.0,935.0,812.0,814.7,814.15,854.83,511017,43683319425000.0,258346,0.5056,2008,1,24,3,False,False,845.2699999999999,1007.4275000000001,611623.4,123.6182659102878,857.0,825.05
2008-01-25,MUNDRAPORT,EQ,814.15,820.0,883.0,820.0,866.0,865.7,858.33,404045,34680333860000.004,178177,0.441,2008,1,25,4,False,False,819.49,996.6475,557061.6,115.01555076017598,814.15,735.55
2008-01-28,MUNDRAPORT,EQ,865.7,835.0,835.0,783.2,822.0,820.8,804.38,467052,37568552380000.0,241365,0.5168,2008,1,28,0,False,False,818.64,982.5675000000001,492747.4,111.67722387905815,865.7,857.0
2008-01-29,MUNDRAPORT,EQ,820.8,840.0,860.0,820.05,840.0,840.75,841.27,220070,18513823345000.0,74141,0.3369,2008,1,29,1,False,False,839.68,970.835,427529.2,99.77972907025391,820.8,814.15
2008-01-30,MUNDRAPORT,EQ,840.75,849.8,864.0,822.25,834.0,830.45,833.82,286190,23863110660000.0,165926,0.5798,2008,1,30,2,False,False,834.3700000000001,959.9750000000001,377674.8,85.3990256579855,840.75,865.7
2008-01-31,MUNDRAPORT,EQ,830.45,831.0,849.9,812.55,836.6,837.65,833.58,194300,16196555894999.998,103890,0.5347,2008,1,31,3,False,True,839.07,950.0174999999999,314331.4,64.17944980893579,830.45,820.8
2008-02-01,MUNDRAPORT,EQ,837.65,831.65,852.3,820.0,826.0,825.35,828.09,204391,16925451805000.002,115715,0.5661,2008,2,1,4,True,False,831.0,935.76,274400.6,35.36235796876439,837.65,840.75
2008-02-04,MUNDRAPORT,EQ,825.35,847.9,872.4,840.0,859.0,856.1,858.77,280230,24065208695000.0,128195,0.4575,2008,2,4,0,False,False,838.0600000000001,926.3525,237036.2,36.68189077884394,825.35,830.45
2008-02-05,MUNDRAPORT,EQ,856.1,856.0,857.0,830.0,834.65,834.3,842.06,162093,13649192019999.998,96153,0.5932000000000001,2008,2,5,1,False,False,836.7700000000001,914.3199999999999,225440.8,16.860394914313087,856.1,837.65
2008-02-06,MUNDRAPORT,EQ,834.3,803.0,824.9,780.0,809.0,807.5,810.5,193260,15663794125000.0,110565,0.5721,2008,2,6,2,False,False,832.18,901.35,206854.8,17.965882017496185,834.3,825.35
2008-02-07,MUNDRAPORT,EQ,807.5,825.0,830.0,792.0,795.9,796.25,809.53,212932,17237575975000.0,106275,0.4991,2008,2,7,3,False,False,823.9,888.1524999999999,210581.2,20.757863971675704,807.5,856.1
2008-02-08,MUNDRAPORT,EQ,796.25,810.0,830.0,765.15,786.0,784.05,781.48,285025,22274252000000.0,154857,0.5433,2008,2,8,4,False,False,815.64,873.0625,226708.0,21.83458266145527,796.25,834.3
2008-02-11,MUNDRAPORT,EQ,784.05,785.0,785.0,695.0,699.0,711.2,736.23,223955,16488264325000.0,118002,0.5269,2008,2,11,0,False,False,786.66,856.865,215453.0,41.70540732327065,784.05,807.5
2008-02-12,MUNDRAPORT,EQ,711.2,725.0,734.95,655.6,689.0,681.3,681.38,303409,20673577510000.0,187180,0.6169,2008,2,12,1,False,False,756.0600000000001,838.4525,243716.2,57.23477017221766,711.2,796.25
2008-02-13,MUNDRAPORT,EQ,681.3,815.9,815.9,664.0,678.0,670.95,681.68,214900,14649214640000.0,108761,0.5061,2008,2,13,2,False,False,728.75,820.4799999999999,248044.2,67.92269318865307,681.3,784.05
2008-02-14,MUNDRAPORT,EQ,670.95,680.0,714.0,680.0,710.0,709.8,704.71,269032,18959036175000.0,148611,0.5524,2008,2,14,3,False,False,711.46,804.925,259264.2,67.99533153909171,670.95,711.2
2008-02-15,MUNDRAPORT,EQ,709.8,700.0,763.7,681.25,729.0,728.75,734.23,353049,25921872820000.0,110621,0.3132999999999999,2008,2,15,4,False,False,700.4,791.6325,272869.0,65.71558753023764,709.8,681.3
2008-02-18,MUNDRAPORT,EQ,728.75,735.0,775.0,735.0,772.0,771.6,762.33,342580,26115882900000.0,154099,0.4498,2008,2,18,0,False,False,712.48,788.9599999999999,296594.0,56.487511894222,728.75,670.95
2008-02-19,MUNDRAPORT,EQ,771.6,779.0,786.9,760.2,767.0,763.9,772.24,137412,10611555840000.0,47543,0.346,2008,2,19,1,False,False,729.0,790.3775,263394.6,48.58910600352809,771.6,709.8
2008-02-20,MUNDRAPORT,EQ,763.9,750.0,760.0,720.0,740.0,732.1,730.61,197489,14428706935000.0,89397,0.4527,2008,2,20,2,False,False,741.23,784.1324999999999,259912.4,42.9046475079057,763.9,728.75
2008-02-21,MUNDRAPORT,EQ,732.1,762.0,762.0,730.1,738.9,737.6,741.53,125558,9310465240000.0,37956,0.3023,2008,2,21,3,False,False,746.7900000000001,780.3050000000001,231217.6,37.23397679240874,732.1,771.6
2008-02-22,MUNDRAPORT,EQ,737.6,723.0,737.0,715.0,724.5,724.0,726.52,81070,5889922195000.0,31808,0.3924,2008,2,22,4,False,False,745.8399999999999,773.22,176821.8,31.843769667966697,737.6,763.9
2008-02-25,MUNDRAPORT,EQ,724.0,725.05,758.9,702.3,707.0,707.65,711.7,152803,10875065635000.0,71403,0.4673,2008,2,25,0,False,False,733.05,767.5625,138866.4,32.01077119068004,724.0,732.1
2008-02-26,MUNDRAPORT,EQ,707.65,725.0,744.0,713.0,735.0,735.8,733.73,251269,18436350425000.0,53136,0.2115,2008,2,26,1,False,False,727.4300000000001,762.315,161637.8,28.627386363408277,707.65,737.6
2008-02-27,MUNDRAPORT,EQ,735.8,749.7,783.4,741.0,744.0,746.4,762.47,305320,23279802440000.0,84490,0.2767,2008,2,27,2,False,False,730.29,758.1125,183204.0,20.703969023672652,735.8,724.0
2008-02-28,MUNDRAPORT,EQ,746.4,740.0,754.9,725.05,740.0,737.75,738.91,112491,8312092509999.999,36730,0.3265,2008,2,28,3,False,False,730.3199999999999,753.1175000000001,180590.6,18.588548595540075,746.4,707.65
2008-02-29,MUNDRAPORT,EQ,737.75,738.0,761.0,725.4,730.0,735.65,742.88,203872,15145219430000.002,65460,0.3211,2008,2,29,4,False,True,732.65,748.6324999999999,205151.0,18.310128496420287,737.75,735.8
2008-03-03,MUNDRAPORT,EQ,735.65,725.0,725.0,692.3,698.1,699.25,709.31,182510,12945690220000.0,101025,0.5535,2008,3,3,0,False,False,730.97,740.79,211092.4,18.3988194065656,735.65,746.4
2008-03-04,MUNDRAPORT,EQ,699.25,705.0,708.95,642.0,671.05,669.25,663.93,400996,26623302560000.0,196398,0.4897999999999999,2008,3,4,1,False,False,717.6600000000001,732.5375,241037.8,23.740804652652464,699.25,737.75
2008-03-05,MUNDRAPORT,EQ,669.25,668.0,672.0,636.0,638.0,640.9,649.58,263263,17100941085000.0,147818,0.5615,2008,3,5,2,False,False,696.5600000000001,724.2075,232626.4,34.66585936559766,669.25,735.65
2008-03-07,MUNDRAPORT,EQ,640.9,630.0,630.0,577.0,608.0,609.75,595.79,452949,26986121065000.0,265748,0.5867,2008,3,7,4,False,False,670.96,714.8824999999999,300718.0,46.362112165477,640.9,699.25
2008-03-10,MUNDRAPORT,EQ,609.75,600.0,610.0,508.15,600.0,601.15,588.84,235966,13894538005000.002,99760,0.4228,2008,3,10,0,False,False,644.06,705.7375,307136.8,54.962984766515895,609.75,669.25
2008-03-11,MUNDRAPORT,EQ,601.15,593.0,635.75,575.0,621.5,623.7,623.24,226830,14136860044999.998,84493,0.3725,2008,3,11,1,False,False,628.95,701.3625,316000.8,58.01492049464349,601.15,640.9
2008-03-12,MUNDRAPORT,EQ,623.7,640.0,649.95,591.0,592.0,602.9,625.61,210739,13183947915000.0,101740,0.4828,2008,3,12,2,False,False,615.68,697.4424999999999,277949.4,59.01551208509897,623.7,609.75
2008-03-13,MUNDRAPORT,EQ,602.9,585.0,600.0,562.05,569.0,566.3,579.98,165515,9599534985000.0,79053,0.4775999999999999,2008,3,13,3,False,False,600.76,692.21,258399.8,59.45973334020823,602.9,601.15
2008-03-14,MUNDRAPORT,EQ,566.3,569.0,577.0,554.05,555.0,561.0,561.01,157189,8818501820000.0,69025,0.4391,2008,3,14,4,False,False,591.01,684.77,199247.8,56.21618020344707,566.3,623.7
2008-03-17,MUNDRAPORT,EQ,561.0,549.0,549.0,507.0,507.3,511.45,524.19,201577,10566516110000.0,97073,0.4816,2008,3,17,0,False,False,573.0699999999999,673.905,192370.0,54.51770380140315,561.0,602.9
2008-03-18,MUNDRAPORT,EQ,511.45,505.0,525.0,490.0,500.95,502.4,505.47,257617,13021808800000.0,115912,0.4499,2008,3,18,1,False,False,548.81,660.445,198527.4,53.667563139507905,511.45,566.3
2008-03-19,MUNDRAPORT,EQ,502.4,530.0,530.0,495.0,495.05,497.75,510.0,196021,9997139760000.0,102479,0.5228,2008,3,19,2,False,False,527.78,647.1375,195583.8,52.52087521484247,502.4,561.0
2008-03-24,MUNDRAPORT,EQ,497.75,502.0,505.9,465.0,470.1,469.2,474.92,542915,25784230490000.0,436778,0.8045,2008,3,24,0,False,False,508.36,633.9925000000001,271063.8,55.38331477579928,497.75,511.45
2008-03-25,MUNDRAPORT,EQ,469.2,475.0,505.0,465.05,495.25,497.15,493.01,746747,36815038900000.0,536222,0.7181000000000001,2008,3,25,1,False,False,495.59,621.97,388975.4,54.35265505116392,469.2,502.4
2008-03-26,MUNDRAPORT,EQ,497.15,502.0,522.0,490.25,501.15,504.05,508.57,278415,14159353055000.002,127422,0.4577,2008,3,26,2,False,False,494.10999999999996,610.9725000000001,404343.0,51.4662769847049,497.15,497.75
2008-03-27,MUNDRAPORT,EQ,504.05,496.1,521.0,486.0,517.0,516.0,512.99,359725,18453410400000.0,138563,0.3852,2008,3,27,3,False,False,496.83000000000004,601.3900000000001,424764.6,40.64571318109316,504.05,469.2
2008-03-28,MUNDRAPORT,EQ,516.0,515.0,619.2,515.0,619.2,619.2,578.13,1546339,89398999150000.0,517738,0.3348,2008,3,28,4,False,False,521.1200000000001,595.56,694828.2,44.3701538824833,516.0,497.15
2008-03-31,MUNDRAPORT,EQ,619.2,625.0,673.4,570.0,577.0,578.75,629.52,2134980,134400978745000.0,376435,0.1762999999999999,2008,3,31,0,False,True,543.0300000000001,587.1775,1013241.2,45.82571118439134,619.2,504.05
2008-04-01,MUNDRAPORT,EQ,578.75,585.0,617.0,584.75,596.0,592.2,598.4,728839,43613566470000.0,152120,0.2087,2008,4,1,1,True,False,562.0400000000001,579.9,1009659.6,49.417822077551996,578.75,516.0
2008-04-02,MUNDRAPORT,EQ,592.2,623.8,633.4,601.0,608.1,608.35,614.65,867551,53324256475000.0,243344,0.2805,2008,4,2,2,False,False,582.9,573.5350000000001,1127486.8,54.837540112182815,592.2,619.2
2008-04-03,MUNDRAPORT,EQ,608.35,611.0,621.4,592.1,598.05,602.3,605.99,780026,47269009130000.0,316531,0.4058,2008,4,3,3,False,False,600.1600000000001,568.6875,1211547.0,56.60058131817434,608.35,578.75
2008-04-04,MUNDRAPORT,EQ,602.3,614.0,614.0,585.0,590.65,593.2,594.38,386898,22996381935000.0,138769,0.3586999999999999,2008,4,4,4,False,False,594.96,564.885,979658.8,55.12112319448815,602.3,592.2
2008-04-07,MUNDRAPORT,EQ,593.2,595.0,605.3,570.0,591.8,593.4,590.59,466172,27531786910000.004,160462,0.3442,2008,4,7,0,False,False,597.8900000000001,562.51,645897.2,46.140201800836834,593.2,608.35
2008-04-08,MUNDRAPORT,EQ,593.4,625.0,625.0,585.1,588.0,589.65,590.78,217730,12863012140000.0,64935,0.2982,2008,4,8,1,False,False,597.38,561.505,543675.4,38.43976384480235,593.4,602.3
2008-04-09,MUNDRAPORT,EQ,589.65,580.5,623.0,575.15,598.9,597.75,605.82,507422,30740860080000.0,89005,0.1754,2008,4,9,2,False,False,595.26,561.3349999999999,471649.6,27.93161490338228,589.65,593.2
2008-04-10,MUNDRAPORT,EQ,597.75,615.0,615.0,586.0,611.0,608.6,609.93,495019,30192522510000.004,230605,0.4659,2008,4,10,3,False,False,596.52,560.58,414648.2,11.568366829888,597.75,593.4
2008-04-11,MUNDRAPORT,EQ,608.6,610.0,620.0,605.0,610.75,610.2,612.7,301522,18474226790000.0,115645,0.3835,2008,4,11,4,False,False,599.9200000000001,560.945,397573.0,10.010350199211425,608.6,589.65
2008-04-15,MUNDRAPORT,EQ,610.2,605.0,650.0,600.0,649.6,642.55,630.29,732463,46166191445000.0,202598,0.2766,2008,4,15,1,False,False,609.75,564.7574999999999,450831.2,15.564974925909436,610.2,597.75
2008-04-16,MUNDRAPORT,EQ,642.55,657.0,662.0,632.0,641.0,637.4,648.05,440549,28549839940000.0,141662,0.3216,2008,4,16,2,False,False,619.3,568.5775,495395.0,18.161938222550702,642.55,608.6
2008-04-17,MUNDRAPORT,EQ,637.4,648.8,659.4,621.05,627.9,626.35,642.94,442496,28449935250000.0,166569,0.3764,2008,4,17,3,False,False,625.02,574.3225,482409.8,19.034074708263326,637.4,610.2
2008-04-21,MUNDRAPORT,EQ,626.35,640.0,654.95,633.1,646.0,645.15,644.67,257175,16579379110000.0,67098,0.2609,2008,4,21,0,False,False,632.33,581.4599999999999,434841.0,21.70838611637288,626.35,642.55
2008-04-22,MUNDRAPORT,EQ,645.15,640.0,673.4,638.15,671.9,665.85,661.65,574697,38024968270000.0,174611,0.3038,2008,4,22,1,False,False,643.4599999999999,589.865,489476.0,25.6201179631204,645.15,637.4
2008-04-23,MUNDRAPORT,EQ,665.85,675.0,677.9,652.4,668.3,666.7,664.87,362552,24105041295000.0,106485,0.2937,2008,4,23,2,False,False,648.29,599.74,415493.8,27.07151229203024,665.85,626.35
2008-04-24,MUNDRAPORT,EQ,666.7,668.0,677.85,658.1,662.0,665.25,665.17,255828,17016807785000.0,114951,0.4493,2008,4,24,3,False,False,653.86,608.1450000000001,378549.6,25.357183948095457,666.7,645.15
2008-04-25,MUNDRAPORT,EQ,665.25,670.0,718.0,659.1,717.0,712.15,700.58,1510614,105830561130000.0,484802,0.3209,2008,4,25,4,False,False,671.02,618.55,592173.2,31.05765427215435,665.25,665.85
2008-04-28,MUNDRAPORT,EQ,712.15,725.0,741.1,703.0,737.0,736.45,727.8,1072156,78031732120000.0,334387,0.3119,2008,4,28,0,False,False,689.28,629.5725,755169.4,38.46003300685888,712.15,666.7
2008-04-29,MUNDRAPORT,EQ,736.45,738.25,748.0,711.1,740.0,740.6,729.11,600573,43788548835000.0,154227,0.2568,2008,4,29,1,False,False,704.23,635.6425,760344.6,41.39045414638786,736.45,665.25
2008-04-30,MUNDRAPORT,EQ,740.6,740.0,774.0,715.0,755.05,760.15,760.03,731082,55564377910000.0,159754,0.2185,2008,4,30,2,False,True,722.92,644.7125,834050.6,47.731572651417785,740.6,712.15
2008-05-02,MUNDRAPORT,EQ,760.15,766.25,788.0,763.65,766.05,766.65,775.93,607475,47135810255000.0,140632,0.2314999999999999,2008,5,2,4,False,False,743.2,653.4350000000001,904380.0,50.63896282069132,760.15,736.45
2008-05-05,MUNDRAPORT,EQ,766.65,681.7,781.7,681.7,752.55,754.4,768.38,248543,19097499220000.0,60428,0.2430999999999999,2008,5,5,0,False,False,751.65,660.7375,651965.8,46.36876972225341,766.65,740.6
2008-05-06,MUNDRAPORT,EQ,754.4,730.0,767.9,725.1,761.0,757.9,754.53,418643,31587775900000.0,122370,0.2923,2008,5,6,1,False,False,755.9399999999999,668.5175,521263.2,41.98829731140482,754.4,760.15
2008-05-07,MUNDRAPORT,EQ,757.9,762.0,774.5,745.0,769.0,768.5,765.19,295381,22602357400000.0,91621,0.3102,2008,5,7,2,False,False,761.52,677.2825,460224.8,39.012314651200384,757.9,766.65
2008-05-08,MUNDRAPORT,EQ,768.5,760.0,785.0,752.0,783.95,781.5,771.48,422630,32605189215000.0,146167,0.3459,2008,5,8,3,False,False,765.79,686.6875,398534.4,33.936218361309685,768.5,754.4
2008-05-09,MUNDRAPORT,EQ,781.5,770.45,803.75,770.0,778.8,783.75,787.68,657740,51809148855000.0,158828,0.2415,2008,5,9,4,False,False,769.21,696.3925,408587.4,21.74381712885678,781.5,757.9
2008-05-12,MUNDRAPORT,EQ,783.75,719.2,814.8,719.2,810.7,807.55,797.86,1245745,99393371935000.0,452806,0.3635,2008,5,12,0,False,False,779.8399999999999,706.8824999999999,608027.8,21.188288825036608,783.75,768.5
