date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,UTIBANK,EQ,24.7,26.7,26.7,26.7,26.7,26.7,26.7,112100,299307000000.0,768768.0,0.4598,2000,1,3,0,False,False,,,,,,
2000-01-04,UTIBANK,EQ,26.7,27.0,28.7,26.5,27.0,26.85,27.24,234500,638727500000.0,768768.0,0.4598,2000,1,4,1,False,False,,,,,26.7,
2000-01-05,UTIBANK,EQ,26.85,26.0,27.75,25.5,26.4,26.3,26.24,170100,446298000000.0,768768.0,0.4598,2000,1,5,2,False,False,,,,,26.85,
2000-01-06,UTIBANK,EQ,26.3,25.8,27.0,25.8,25.9,25.95,26.27,102100,268173000000.0,768768.0,0.4598,2000,1,6,3,False,False,,,,,26.3,26.7
2000-01-07,UTIBANK,EQ,25.95,25.0,26.0,24.25,25.0,24.8,25.04,62600,156722000000.0,768768.0,0.4598,2000,1,7,4,False,False,26.119999999999997,,136280.0,,25.95,26.85
2000-01-10,UTIBANK,EQ,24.8,25.05,26.5,25.0,25.0,25.0,25.29,64200,162334000000.0,768768.0,0.4598,2000,1,10,0,False,False,25.78,,126700.0,,24.8,26.3
2000-01-11,UTIBANK,EQ,25.0,24.25,24.8,23.0,23.0,23.2,23.9,91700,219172500000.0,768768.0,0.4598,2000,1,11,1,False,False,25.05,,98140.0,,25.0,25.95
2000-01-12,UTIBANK,EQ,23.2,22.6,24.5,22.6,24.0,24.0,23.97,32500,77913500000.0,768768.0,0.4598,2000,1,12,2,False,False,24.589999999999996,,70620.0,,23.2,24.8
2000-01-13,UTIBANK,EQ,24.0,24.5,24.5,23.1,23.8,23.6,23.77,48300,114795500000.0,768768.0,0.4598,2000,1,13,3,False,False,24.12,,59860.0,,24.0,25.0
2000-01-14,UTIBANK,EQ,23.6,24.0,24.2,22.5,23.5,23.25,23.17,30700,71142500000.0,768768.0,0.4598,2000,1,14,4,False,False,23.810000000000002,,53480.0,1.4218630188750419,23.6,23.2
2000-01-17,UTIBANK,EQ,23.25,24.5,25.15,24.25,25.15,25.15,25.09,82400,206737500000.0,768768.0,0.4598,2000,1,17,0,False,False,23.84,,57120.0,1.290090436106453,23.25,24.0
2000-01-18,UTIBANK,EQ,25.15,26.5,26.5,24.3,25.15,24.9,24.94,110400,275380500000.0,768768.0,0.4598,2000,1,18,1,False,False,24.18,,60860.0,1.0773037330917117,25.15,23.6
2000-01-19,UTIBANK,EQ,24.9,24.75,26.0,24.75,25.4,25.6,25.56,89300,228266500000.0,768768.0,0.4598,2000,1,19,2,False,False,24.5,,72220.0,0.9733818481059872,24.9,23.25
2000-01-20,UTIBANK,EQ,25.6,26.1,26.25,24.3,24.4,24.45,25.05,103500,259230500000.0,768768.0,0.4598,2000,1,20,3,False,False,24.669999999999998,,83260.0,0.8391298403041656,25.6,25.15
