date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2008-05-27,BAJAJ-AUTO,EQ,604.75,624.7,639.0,580.3,595.5,593.15,606.43,1751063,106190068700000.0,369389,0.211,2008,5,27,1,False,False,,,,,,
2008-05-28,BAJAJ-AUTO,EQ,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,100587748930000.0,898602,0.5438000000000001,2008,5,28,2,False,False,,,,,593.15,
2008-05-29,BAJAJ-AUTO,EQ,608.15,619.4,619.4,576.0,600.0,599.45,600.98,669269,40221651265000.0,449951,0.6723,2008,5,29,3,False,False,,,,,608.15,
2008-05-30,BAJAJ-AUTO,EQ,599.45,605.4,607.0,538.0,576.25,571.7,565.55,1262117,71379372060000.0,936432,0.742,2008,5,30,4,False,False,,,,,599.45,593.15
2008-06-02,BAJAJ-AUTO,EQ,571.7,605.5,615.0,570.7,573.0,580.8,598.3,206640,12363260330000.0,69415,0.3359,2008,6,2,0,False,False,590.65,,1108288.8,,571.7,608.15
2008-06-03,BAJAJ-AUTO,EQ,580.8,596.0,602.0,555.15,577.0,579.7,575.83,157283,9056802440000.0,106984,0.6802,2008,6,3,1,False,False,587.96,,789532.8,,580.8,599.45
2008-06-04,BAJAJ-AUTO,EQ,579.7,597.85,597.85,547.5,550.0,552.1,563.64,326450,18399934815000.0,238952,0.7320000000000001,2008,6,4,2,False,False,576.7500000000001,,524351.8,,579.7,571.7
2008-06-05,BAJAJ-AUTO,EQ,552.1,553.0,588.8,532.4,548.0,562.4,560.7,238915,13396034935000.0,140638,0.5887,2008,6,5,3,False,False,569.3399999999999,,438281.0,,552.1,580.8
2008-06-06,BAJAJ-AUTO,EQ,562.4,567.0,574.7,544.4,572.0,568.8,564.38,73920,4171902765000.0,35676,0.4826,2008,6,6,4,False,False,568.76,,200641.6,,562.4,579.7
2008-06-09,BAJAJ-AUTO,EQ,568.8,575.0,575.0,524.0,552.0,548.8,545.82,321199,17531756775000.0,267438,0.8326000000000001,2008,6,9,0,False,False,562.36,,223553.4,19.658662919379257,568.8,552.1
2008-06-10,BAJAJ-AUTO,EQ,548.8,575.5,575.5,547.0,550.0,550.4,551.58,58118,3205674290000.0,42432,0.7301000000000001,2008,6,10,1,False,False,556.5,,203720.4,20.275398338325594,548.8,562.4
2008-06-11,BAJAJ-AUTO,EQ,550.4,560.0,560.0,528.0,528.2,530.5,536.09,87793,4706466500000.0,55519,0.6324000000000001,2008,6,11,2,False,False,552.18,,155989.0,19.855086809737692,550.4,568.8
2008-06-12,BAJAJ-AUTO,EQ,530.5,511.0,527.0,510.7,520.0,519.45,518.85,50729,2632060805000.0,35708,0.7039,2008,6,12,3,False,False,543.59,,118351.8,20.304406336228148,530.5,548.8
2008-06-13,BAJAJ-AUTO,EQ,519.45,514.25,525.0,501.2,508.0,505.9,508.57,123934,6302918305000.0,98980,0.7987000000000001,2008,6,13,4,False,False,531.01,,128354.6,24.94921564120012,519.45,550.4
2008-06-16,BAJAJ-AUTO,EQ,505.9,510.0,518.0,489.45,491.8,494.65,503.45,61592,3100824475000.0,38141,0.6193,2008,6,16,0,False,False,520.18,,76433.2,27.799192634159404,505.9,530.5
2008-06-17,BAJAJ-AUTO,EQ,494.65,490.45,510.0,482.6,505.0,506.7,500.42,71476,3576794370000.0005,27522,0.3851,2008,6,17,1,False,False,511.44000000000005,,79104.8,26.120396457770322,494.65,519.45
2008-06-18,BAJAJ-AUTO,EQ,506.7,510.1,531.0,500.0,514.95,516.45,514.41,105505,5427296775000.0,52716,0.4997,2008,6,18,2,False,False,508.63,,82647.2,25.80188892740627,506.7,505.9
2008-06-19,BAJAJ-AUTO,EQ,516.45,500.2,527.0,500.2,507.65,512.55,516.94,140483,7262152550000.0,93934,0.6687000000000001,2008,6,19,3,False,False,507.25,,100598.0,23.66022447531318,516.45,494.65
2008-06-20,BAJAJ-AUTO,EQ,512.55,507.0,519.0,493.6,515.0,512.1,506.49,76656,3882532540000.0,53866,0.7027,2008,6,20,4,False,False,508.48999999999995,,91142.4,18.29500539005679,512.55,506.7
2008-06-23,BAJAJ-AUTO,EQ,512.1,500.0,514.9,499.0,499.0,502.3,503.85,89888,4529026680000.0,64252,0.7148000000000001,2008,6,23,0,False,False,510.02,545.8025,96801.6,15.8350525382416,512.1,516.45
2008-06-24,BAJAJ-AUTO,EQ,502.3,495.0,506.0,471.15,485.0,479.0,496.3,174131,8642155609999.999,97521,0.56,2008,6,24,1,False,False,504.48,540.095,117332.6,14.158091522360476,502.3,512.55
2008-06-25,BAJAJ-AUTO,EQ,479.0,450.0,502.0,450.0,493.15,497.3,489.76,72533,3552411200000.0,38325,0.5284000000000001,2008,6,25,2,False,False,500.65,534.5525,110738.2,12.015841395608676,479.0,512.1
2008-06-26,BAJAJ-AUTO,EQ,497.3,519.9,519.9,469.05,491.3,488.95,480.09,185234,8892902040000.0,134786,0.7277,2008,6,26,3,False,False,495.93,529.0274999999999,119688.4,11.705834252864372,497.3,502.3
2008-06-27,BAJAJ-AUTO,EQ,488.95,465.9,476.85,435.0,440.1,453.95,452.97,260609,11804778730000.0,196212,0.7529000000000001,2008,6,27,4,False,False,484.3,523.14,156479.0,18.898419246063288,488.95,479.0
2008-06-30,BAJAJ-AUTO,EQ,453.95,454.0,459.95,445.35,451.0,450.35,452.65,115006,5205781735000.0,101165,0.8795999999999999,2008,6,30,0,False,True,473.91,516.6175000000001,161502.6,23.886770513309845,453.95,497.3
2008-07-01,BAJAJ-AUTO,EQ,450.35,450.0,457.0,433.0,449.0,447.1,446.16,170197,7593579305000.0,139828,0.8216,2008,7,1,1,True,False,467.53000000000003,509.9875,160715.8,27.030296274118733,450.35,488.95
2008-07-02,BAJAJ-AUTO,EQ,447.1,430.15,457.95,430.15,448.0,453.5,449.32,245296,11021532370000.0,229636,0.9362,2008,7,2,2,False,False,458.77,505.05750000000006,195268.4,26.47669625244834,447.1,453.95
