date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2008-06-05,BAJAJFINSV,EQ,598.95,603.0,639.8,572.3,631.5,631.85,610.65,1344712,82115215000000.0,167819,0.1248,2008,6,5,3,False,False,,,,,,
2008-06-06,BAJAJFINSV,EQ,631.85,639.25,642.9,608.05,635.0,630.9,628.44,794722,49943255770000.0,65497,0.0824,2008,6,6,4,False,False,,,,,631.85,
2008-06-09,BAJAJFINSV,EQ,630.9,620.0,648.0,580.0,645.0,629.9,624.95,758393,47395833740000.0,126531,0.1668,2008,6,9,0,False,False,,,,,630.9,
2008-06-10,BAJAJFINSV,EQ,629.9,618.0,675.0,618.0,672.0,669.25,653.65,939180,61389719585000.0,154239,0.1642,2008,6,10,1,False,False,,,,,629.9,631.85
2008-06-11,BAJAJFINSV,EQ,669.25,672.0,682.0,641.1,641.1,653.5,662.71,750714,49750278290000.0,225104,0.2999,2008,6,11,2,False,False,643.08,,917544.2,,669.25,630.9
2008-06-12,BAJAJFINSV,EQ,653.5,629.0,638.45,601.0,602.0,605.9,614.22,414320,25448475200000.0,84678,0.2044,2008,6,12,3,False,False,637.89,,731465.8,,653.5,629.9
2008-06-13,BAJAJFINSV,EQ,605.9,607.0,624.5,572.75,577.0,580.8,601.0,458514,27556624630000.0,80790,0.1762,2008,6,13,4,False,False,627.87,,664224.2,,605.9,669.25
2008-06-16,BAJAJFINSV,EQ,580.8,595.0,618.0,587.25,613.1,614.05,606.17,496439,30092781925000.0,150448,0.3031,2008,6,16,0,False,False,624.7,,611833.4,,580.8,653.5
2008-06-17,BAJAJFINSV,EQ,614.05,610.0,626.0,605.1,610.0,611.05,614.08,248850,15281402490000.0,41597,0.1672,2008,6,17,1,False,False,613.06,,473767.4,,614.05,605.9
2008-06-18,BAJAJFINSV,EQ,611.05,615.0,617.2,585.1,595.0,591.95,605.3,142386,8618597040000.001,26714,0.1876,2008,6,18,2,False,False,600.75,,352101.8,26.886882902676202,611.05,580.8
2008-06-19,BAJAJFINSV,EQ,591.95,580.0,625.0,578.05,613.0,611.85,614.38,468038,28755425740000.0,175475,0.3749,2008,6,19,3,False,False,601.94,,362845.4,26.80949303263055,591.95,614.05
2008-06-20,BAJAJFINSV,EQ,611.85,603.0,618.25,532.0,569.0,554.95,573.49,289352,16594150969999.998,60345,0.2086,2008,6,20,4,False,False,596.77,,329013.0,33.319465448559896,611.85,611.05
2008-06-23,BAJAJFINSV,EQ,554.95,551.0,575.9,550.0,566.55,565.4,561.83,514992,28933786160000.004,255681,0.4965,2008,6,23,0,False,False,587.0400000000001,,332723.6,35.69638325906109,554.95,591.95
2008-06-24,BAJAJFINSV,EQ,565.4,565.5,572.0,537.0,547.1,549.15,551.73,294467,16246593490000.0,92318,0.3135,2008,6,24,1,False,False,574.6600000000001,,341847.0,32.01704233685554,565.4,611.85
2008-06-25,BAJAJFINSV,EQ,549.15,542.0,632.5,540.0,580.0,577.1,564.55,124264,7015310720000.0,31283,0.2517,2008,6,25,2,False,False,571.69,,338222.6,24.41786913990108,549.15,554.95
