date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2002-02-18,BHARTI,EQ,0.0,51.9,51.9,43.5,44.7,44.35,46.0,10381190,47754314050000.0,6503775.0,0.6265,2002,2,18,0,False,False,,,,,,
2002-02-19,BHARTI,EQ,44.35,45.15,45.15,41.3,41.35,41.7,42.58,3552660,15126094130000.002,1741184.0,0.4901,2002,2,19,1,False,False,,,,,44.35,
2002-02-20,BHARTI,EQ,41.7,40.6,42.8,40.25,41.2,41.25,41.56,2512964,10443478265000.0,1793994.5,0.53,2002,2,20,2,False,False,,,,,41.7,
2002-02-21,BHARTI,EQ,41.25,42.85,43.4,42.15,42.2,42.4,42.76,1338196,5722681000000.0,485969.0,0.3632,2002,2,21,3,False,False,,,,,41.25,44.35
2002-02-22,BHARTI,EQ,42.4,42.65,43.6,41.1,43.35,43.3,42.75,811327,3468413225000.0,399133.0,0.492,2002,2,22,4,False,False,42.6,,3719267.4,,42.4,41.7
2002-02-25,BHARTI,EQ,43.3,45.5,45.5,42.65,42.95,42.8,43.05,454151,1955299645000.0,237710.0,0.5234000000000001,2002,2,25,0,False,False,42.29,,1733859.6,,43.3,41.25
2002-02-26,BHARTI,EQ,42.8,43.15,44.2,42.9,43.7,43.6,43.48,894960,3891165230000.0,539339.0,0.6026,2002,2,26,1,False,False,42.67,,1202319.6,,42.8,42.4
2002-02-27,BHARTI,EQ,43.6,43.95,46.3,43.75,44.45,44.65,45.02,3271361,14728818065000.0,1376980.0,0.4209,2002,2,27,2,False,False,43.35,,1353999.0,,43.6,43.3
2002-02-28,BHARTI,EQ,44.65,46.0,46.8,40.8,41.4,41.5,44.48,4429634,19702772080000.0,1583183.0,0.3574,2002,2,28,3,False,True,43.17,,1972286.6,,44.65,42.8
2002-03-01,BHARTI,EQ,41.5,42.0,43.4,41.8,42.45,42.5,42.52,942785,4008985075000.0,473453.0,0.5022,2002,3,1,4,True,False,43.010000000000005,,1998578.2,1.1674878062651353,41.5,43.6
2002-03-04,BHARTI,EQ,42.5,43.1,44.25,42.85,43.25,43.3,43.37,615152,2667845820000.0,346466.0,0.5632,2002,3,4,0,False,False,43.11,,2030778.4,1.0548828265631103,42.5,44.65
2002-03-05,BHARTI,EQ,43.3,44.2,45.5,43.7,45.35,45.3,44.92,1490137,6693880700000.0,932820.0,0.626,2002,3,5,1,False,False,43.45,,2149813.8,1.2683760395788675,43.3,41.5
