date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,CIPLA,EQ,1349.4,1410.0,1457.35,1380.05,1457.35,1457.35,1441.36,21060,3035495710000.0,578714.5,0.51665,2000,1,3,0,False,False,,,,,,
2000-01-04,CIPLA,EQ,1457.35,1537.0,1537.0,1430.0,1466.05,1465.25,1460.43,30215,4412697995000.0,578714.5,0.51665,2000,1,4,1,False,False,,,,,1457.35,
2000-01-05,CIPLA,EQ,1465.25,1474.0,1474.0,1365.0,1441.0,1435.05,1428.11,33799,4826872355000.0,578714.5,0.51665,2000,1,5,2,False,False,,,,,1465.25,
2000-01-06,CIPLA,EQ,1435.05,1434.0,1435.0,1349.0,1365.0,1355.85,1390.55,33083,4600355805000.0,578714.5,0.51665,2000,1,6,3,False,False,,,,,1435.05,1457.35
2000-01-07,CIPLA,EQ,1355.85,1370.0,1389.9,1247.4,1247.4,1247.55,1267.49,66536,8433350509999.999,578714.5,0.51665,2000,1,7,4,False,False,1392.2099999999998,,36938.6,,1355.85,1465.25
2000-01-10,CIPLA,EQ,1247.55,1288.0,1299.0,1191.0,1197.15,1205.9,1222.23,105912,12944849340000.0,578714.5,0.51665,2000,1,10,0,False,False,1341.9199999999998,,53909.0,,1247.55,1435.05
2000-01-11,CIPLA,EQ,1205.9,1225.0,1225.0,1109.45,1125.0,1114.25,1156.31,186975,21620034285000.0,578714.5,0.51665,2000,1,11,1,False,False,1271.72,,85261.0,,1205.9,1355.85
2000-01-12,CIPLA,EQ,1114.25,1185.0,1203.4,1185.0,1203.4,1203.4,1202.76,7416,891969640000.0,578714.5,0.51665,2000,1,12,2,False,False,1225.39,,79984.4,,1114.25,1247.55
2000-01-13,CIPLA,EQ,1203.4,1299.7,1299.7,1281.2,1299.7,1297.05,1298.53,90379,11736022640000.0,578714.5,0.51665,2000,1,13,3,False,False,1213.6299999999999,,91443.6,,1203.4,1205.9
2000-01-14,CIPLA,EQ,1297.05,1299.0,1304.55,1220.0,1275.0,1280.7,1275.38,70729,9020601715000.0,578714.5,0.51665,2000,1,14,4,False,False,1220.2600000000002,,92282.2,119.65561009738649,1297.05,1114.25
2000-01-17,CIPLA,EQ,1280.7,1335.0,1340.0,1250.15,1265.0,1270.05,1292.22,54938,7099175120000.0,578714.5,0.51665,2000,1,17,0,False,False,1233.09,,82087.4,107.40508329062772,1280.7,1203.4
2000-01-18,CIPLA,EQ,1270.05,1294.0,1294.0,1200.0,1235.0,1220.15,1227.43,51691,6344729185000.0,578714.5,0.51665,2000,1,18,1,False,False,1254.27,,55030.6,88.66834412573643,1270.05,1297.05
2000-01-19,CIPLA,EQ,1220.15,1175.0,1219.9,1132.0,1200.0,1203.85,1189.27,132669,15777967760000.0,578714.5,0.51665,2000,1,19,2,False,False,1254.3600000000001,,80081.2,66.08793909969104,1220.15,1280.7
2000-01-20,CIPLA,EQ,1203.85,1205.0,1223.0,1201.0,1208.0,1208.8,1212.22,44602,5406753495000.0,578714.5,0.51665,2000,1,20,3,False,False,1236.71,,70925.8,52.34673501438942,1203.85,1270.05
2000-01-21,CIPLA,EQ,1208.8,1210.0,1210.0,1160.0,1202.0,1201.1,1198.65,43168,5174312265000.0,578714.5,0.51665,2000,1,21,4,False,False,1220.7900000000002,,65413.6,52.20085807085331,1208.8,1220.15
2000-01-24,CIPLA,EQ,1201.1,1218.0,1223.9,1185.0,1212.0,1212.0,1210.61,67930,8223692930000.0,578714.5,0.51665,2000,1,24,0,False,False,1209.1799999999998,,68012.0,52.04637915679986,1201.1,1203.85
2000-01-25,CIPLA,EQ,1212.0,1195.0,1208.0,1176.05,1197.9,1194.3,1195.43,65851,7872022250000.0,578714.5,0.51665,2000,1,25,1,False,False,1204.0099999999998,,70844.0,38.05601719103672,1212.0,1208.8
2000-01-27,CIPLA,EQ,1194.3,1225.0,1225.0,1185.0,1195.0,1190.3,1197.07,33549,4016047750000.0,578714.5,0.51665,2000,1,27,3,False,False,1201.3,,51020.0,39.24733678155096,1194.3,1201.1
2000-01-28,CIPLA,EQ,1190.3,1210.0,1215.0,1171.0,1183.0,1183.75,1188.57,25834,3070553655000.0,578714.5,0.51665,2000,1,28,4,False,False,1196.29,,47266.4,32.88216335137798,1190.3,1212.0
2000-01-31,CIPLA,EQ,1183.75,1162.0,1184.9,1155.0,1169.35,1173.1,1172.11,30473,3571756904999.9995,578714.5,0.51665,2000,1,31,0,False,True,1190.69,1255.9875,44727.4,26.53147815960072,1183.75,1194.3
