date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,DRREDDY,EQ,1396.5,1505.0,1508.25,1505.0,1508.25,1508.25,1508.21,13280,2002904375000.0,169240.0,0.5391,2000,1,3,0,False,False,,,,,,
2000-01-04,DRREDDY,EQ,1508.25,1590.0,1628.95,1510.0,1628.95,1628.95,1579.29,57142,9024404910000.0,169240.0,0.5391,2000,1,4,1,False,False,,,,,1508.25,
2000-01-05,DRREDDY,EQ,1628.95,1549.0,1650.0,1499.0,1566.0,1568.05,1594.99,119697,19091553600000.0,169240.0,0.5391,2000,1,5,2,False,False,,,,,1628.95,
2000-01-06,DRREDDY,EQ,1568.05,1599.0,1693.5,1571.0,1693.5,1661.55,1632.11,121966,19906246590000.0,169240.0,0.5391,2000,1,6,3,False,False,,,,,1568.05,1508.25
2000-01-07,DRREDDY,EQ,1661.55,1685.0,1685.0,1528.65,1528.65,1529.1,1585.24,79641,12624973610000.0,169240.0,0.5391,2000,1,7,4,False,False,1579.1799999999998,,78345.2,,1661.55,1628.95
2000-01-10,DRREDDY,EQ,1529.1,1560.0,1560.0,1407.5,1502.0,1503.9,1503.84,62612,9415849660000.0,169240.0,0.5391,2000,1,10,0,False,False,1578.31,,88211.6,,1529.1,1568.05
2000-01-11,DRREDDY,EQ,1503.9,1512.0,1529.0,1384.0,1436.0,1446.6,1449.71,89184,12929137705000.0,169240.0,0.5391,2000,1,11,1,False,False,1541.84,,94620.0,,1503.9,1661.55
2000-01-12,DRREDDY,EQ,1446.6,1460.0,1540.0,1460.0,1486.05,1490.9,1496.5,31611,4730600895000.0,169240.0,0.5391,2000,1,12,2,False,False,1526.41,,77002.8,,1446.6,1529.1
2000-01-13,DRREDDY,EQ,1490.9,1485.0,1545.0,1461.0,1470.05,1477.45,1511.43,39753,6008397020000.0,169240.0,0.5391,2000,1,13,3,False,False,1489.59,,60560.2,,1490.9,1503.9
2000-01-14,DRREDDY,EQ,1477.45,1470.05,1510.0,1412.0,1486.45,1473.5,1458.08,46272,6746848115000.001,169240.0,0.5391,2000,1,14,4,False,False,1478.47,,53886.4,70.01881195634338,1477.45,1446.6
2000-01-17,DRREDDY,EQ,1473.5,1515.0,1570.0,1495.0,1495.0,1508.75,1533.26,67750,10387852905000.0,169240.0,0.5391,2000,1,17,0,False,False,1479.44,,54914.0,70.00266363979776,1473.5,1490.9
2000-01-18,DRREDDY,EQ,1508.75,1475.0,1475.0,1431.05,1450.0,1450.35,1450.67,44008,6384103740000.0,169240.0,0.5391,2000,1,18,1,False,False,1480.19,,45878.8,64.17400845444443,1508.75,1477.45
2000-01-19,DRREDDY,EQ,1450.35,1490.0,1566.4,1465.0,1566.4,1566.4,1539.85,77430,11923058835000.0,169240.0,0.5391,2000,1,19,2,False,False,1495.29,,55042.6,64.01298913328274,1450.35,1473.5
2000-01-20,DRREDDY,EQ,1566.4,1600.0,1649.75,1515.05,1548.9,1537.05,1593.07,225319,35894912745000.0,169240.0,0.5391,2000,1,20,3,False,False,1507.21,,92155.8,38.44894161236569,1566.4,1508.75
2000-01-21,DRREDDY,EQ,1537.05,1580.0,1580.0,1530.0,1567.8,1551.5,1549.77,57911,8974898580000.0,169240.0,0.5391,2000,1,21,4,False,False,1522.81,,94483.6,41.003839928583325,1537.05,1450.35
