date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-11,HCLTECH,EQ,580.0,1550.0,1725.0,1492.0,1560.0,1554.45,1582.72,1192200,188691461000000.0,537944.0,0.5286,2000,1,11,1,False,False,,,,,,
2000-01-12,HCLTECH,EQ,1554.45,1560.0,1678.85,1560.0,1678.85,1678.85,1657.05,344850,57143494500000.0,537944.0,0.5286,2000,1,12,2,False,False,,,,,1554.45,
2000-01-13,HCLTECH,EQ,1678.85,1790.0,1813.2,1781.0,1813.2,1813.2,1804.69,53000,9564879750000.0,537944.0,0.5286,2000,1,13,3,False,False,,,,,1678.85,
2000-01-14,HCLTECH,EQ,1813.2,1958.3,1958.3,1835.0,1958.3,1958.3,1939.9,270950,52561693250000.0,537944.0,0.5286,2000,1,14,4,False,False,,,,,1813.2,1554.45
2000-01-17,HCLTECH,EQ,1958.3,2115.0,2115.0,1801.65,1801.65,1801.65,1990.55,428800,85354733750000.0,537944.0,0.5286,2000,1,17,0,False,False,1761.2900000000002,,457960.0,,1958.3,1678.85
2000-01-18,HCLTECH,EQ,1801.65,1730.55,1815.0,1657.55,1775.0,1774.5,1716.39,359900,61772802000000.0,537944.0,0.5286,2000,1,18,1,False,False,1805.3,,291500.0,,1801.65,1813.2
2000-01-19,HCLTECH,EQ,1774.5,1815.0,1889.0,1760.0,1842.8,1851.15,1842.81,316050,58242040000000.0,537944.0,0.5286,2000,1,19,2,False,False,1839.7599999999998,,285740.0,,1774.5,1958.3
2000-01-20,HCLTECH,EQ,1851.15,1865.0,1865.0,1750.0,1753.5,1757.85,1801.37,204700,36874092500000.0,537944.0,0.5286,2000,1,20,3,False,False,1828.69,,316080.0,,1851.15,1801.65
2000-01-21,HCLTECH,EQ,1757.85,1761.0,1815.0,1705.0,1786.0,1781.35,1774.01,282150,50053604000000.0,537944.0,0.5286,2000,1,21,4,False,False,1793.3,,318320.0,,1757.85,1774.5
2000-01-24,HCLTECH,EQ,1781.35,1834.9,1923.9,1795.0,1923.9,1923.9,1875.34,328650,61633171750000.0,537944.0,0.5286,2000,1,24,0,False,False,1817.75,,298290.0,115.39877767502082,1781.35,1851.15
2000-01-25,HCLTECH,EQ,1923.9,1990.0,2077.85,1990.0,2077.85,2077.85,2065.71,313500,64760104000000.0,537944.0,0.5286,2000,1,25,1,False,False,1878.42,,289010.0,115.63036365937792,1923.9,1757.85
2000-01-27,HCLTECH,EQ,2077.85,2239.9,2239.9,1965.0,2078.0,2080.6,2101.92,352400,74071500250000.0,537944.0,0.5286,2000,1,27,3,False,False,1924.31,,296280.0,122.30092679307224,2077.85,1781.35
2000-01-28,HCLTECH,EQ,2080.6,2100.0,2245.0,2020.2,2190.0,2196.95,2173.0,360800,78401974500000.0,537944.0,0.5286,2000,1,28,4,False,False,2012.1299999999999,,327500.0,154.31729362294772,2080.6,1923.9
2000-01-31,HCLTECH,EQ,2196.95,2111.0,2200.0,2021.2,2021.2,2030.4,2083.45,217650,45346200500000.0,537944.0,0.5286,2000,1,31,0,False,True,2061.94,,314600.0,157.92640726335497,2196.95,2077.85
2000-02-01,HCLTECH,EQ,2030.4,1981.2,2180.0,1981.2,2160.0,2162.25,2110.66,261000,55088342750000.0,537944.0,0.5286,2000,2,1,1,True,False,2109.6099999999997,,301070.0,166.88196460705709,2030.4,2080.6
2000-02-02,HCLTECH,EQ,2162.25,2260.0,2260.0,2010.0,2035.0,2024.25,2085.91,326550,68115423250000.0,537944.0,0.5286,2000,2,2,2,False,False,2098.8900000000003,,303680.0,153.5825718013312,2162.25,2196.95
2000-02-03,HCLTECH,EQ,2024.25,2075.0,2075.0,1915.2,1965.0,1956.5,1989.66,175800,34978205500000.0,537944.0,0.5286,2000,2,3,3,False,False,2074.0699999999997,,268360.0,146.5548490421853,2024.25,2030.4
2000-02-04,HCLTECH,EQ,1956.5,1993.0,2064.0,1965.0,1977.0,1986.6,2008.25,176500,35445597500000.0,537944.0,0.5286,2000,2,4,4,False,False,2032.0,,231500.0,120.17846463119359,1956.5,2162.25
2000-02-07,HCLTECH,EQ,1986.6,1985.0,2119.95,1960.05,2036.0,2062.95,2048.51,277850,56917908000000.0,537944.0,0.5286,2000,2,7,0,False,False,2038.5099999999998,,243540.0,85.49450031044842,1986.6,2024.25
2000-02-08,HCLTECH,EQ,2062.95,2049.4,2060.0,1970.0,2014.0,1999.2,2017.09,199100,40160266750000.0,537944.0,0.5286,2000,2,8,1,False,False,2005.9,1923.6375,231160.0,75.91100216701089,2062.95,1956.5
2000-02-09,HCLTECH,EQ,1999.2,2100.0,2100.0,1975.0,1991.0,1999.0,2011.5,180500,36307632250000.0,537944.0,0.5286,2000,2,9,2,False,False,2000.85,1945.8650000000002,201950.0,77.66661731042736,1999.2,1986.6
2000-02-10,HCLTECH,EQ,1999.0,1976.65,2014.8,1965.0,1990.0,1996.75,1992.36,76850,15311321250000.0,537944.0,0.5286,2000,2,10,3,False,False,2008.9,1961.7599999999998,182160.0,78.50212329046292,1999.0,2062.95
2000-02-11,HCLTECH,EQ,1996.75,1998.0,2156.5,1992.0,2156.5,2156.5,2110.61,166150,35067806500000.0,537944.0,0.5286,2000,2,11,4,False,False,2042.8799999999999,1978.925,180090.0,70.20502830994327,1996.75,1999.2
2000-02-28,HCLTECH,EQ,2317.3,2200.0,2300.0,2132.0,2261.0,2262.75,2201.3,67550,14869762000000.0,537944.0,0.5286,2000,2,28,0,False,False,2082.84,1994.1474999999998,138030.0,99.8193347169439,2156.5,1999.0
2000-02-29,HCLTECH,EQ,2262.75,2325.0,2350.0,2081.75,2081.75,2081.75,2206.52,85100,18777450750000.0,537944.0,0.5286,2000,2,29,1,False,True,2099.35,2008.1525000000001,115230.0,93.78091860524927,2262.75,1996.75
2000-03-01,HCLTECH,EQ,2081.75,2000.0,2248.3,1915.25,2248.3,2248.3,2099.09,217400,45634216000000.0,537944.0,0.5286,2000,3,1,2,True,False,2149.21,2031.8425000000002,122610.0,111.36400326057863,2081.75,2156.5
2000-03-06,HCLTECH,EQ,2443.6,2500.0,2500.0,2248.15,2262.0,2249.75,2328.13,50200,11687192750000.0,537944.0,0.5286,2000,3,6,0,False,False,2199.81,2051.7725,117280.0,115.22713427063154,2248.3,2262.75
2000-03-07,HCLTECH,EQ,2249.75,2225.0,2269.0,2069.8,2069.8,2069.8,2093.46,74050,15502060750000.0,537944.0,0.5286,2000,3,7,1,False,False,2182.4700000000003,2067.37,98860.0,108.59262111723349,2249.75,2081.75
2000-03-08,HCLTECH,EQ,2069.8,2000.0,2150.0,1940.0,1960.0,1975.4,2005.46,123150,24697236500000.0,537944.0,0.5286,2000,3,8,2,False,False,2125.0,2077.0724999999998,109980.0,116.30255848910213,2069.8,2248.3
2000-03-09,HCLTECH,EQ,1975.4,1952.0,2085.0,1817.4,1870.0,1911.55,1932.58,141050,27258991250000.0,537944.0,0.5286,2000,3,9,3,False,False,2090.96,2076.4550000000004,121170.0,127.80551729092105,1975.4,2249.75
2000-03-10,HCLTECH,EQ,1911.55,1902.0,1949.9,1770.0,1818.0,1798.9,1851.73,70000,12962078750000.0,537944.0,0.5286,2000,3,10,4,False,False,2001.08,2062.5074999999997,91690.0,156.88831563673963,1911.55,2069.8
2000-03-13,HCLTECH,EQ,1798.9,1839.0,1915.0,1655.0,1655.0,1655.0,1713.7,95250,16323005000000.0,537944.0,0.5286,2000,3,13,0,False,False,1882.1299999999999,2041.2274999999997,100700.0,205.54054236465237,1798.9,1975.4
2000-03-14,HCLTECH,EQ,1655.0,1650.0,1725.0,1522.6,1700.0,1667.75,1579.57,122700,19381270250000.0,537944.0,0.5286,2000,3,14,1,False,False,1801.72,2014.7675,110430.0,231.48807558681887,1655.0,1911.55
2000-03-15,HCLTECH,EQ,1667.75,1750.0,1801.2,1578.05,1801.2,1801.2,1680.67,38000,6386562750000.0,537944.0,0.5286,2000,3,15,2,False,False,1766.8800000000003,2003.3075000000001,93400.0,217.09304047394534,1667.75,1798.9
2000-03-16,HCLTECH,EQ,1801.2,1945.0,1945.3,1945.0,1945.3,1945.3,1945.29,7750,1507601500000.0,537944.0,0.5286,2000,3,16,3,False,False,1773.6299999999999,1992.4599999999998,66740.0,211.83292348504764,1801.2,1655.0
2000-03-21,HCLTECH,EQ,1945.3,2089.0,2100.95,2000.0,2100.95,2100.95,2075.22,67200,13945504250000.0,537944.0,0.5286,2000,3,21,1,False,False,1834.0400000000002,1996.295,66180.0,191.5645623688143,1945.3,1667.75
2000-03-22,HCLTECH,EQ,2100.95,2269.05,2269.05,2269.05,2269.05,2269.05,2269.05,6900,1565644500000.0,537944.0,0.5286,2000,3,22,2,False,False,1956.85,2011.9225,48510.0,195.34317637315968,2100.95,1801.2
2000-03-23,HCLTECH,EQ,2269.05,2399.0,2450.0,2090.0,2180.0,2148.35,2197.71,74050,16274052250000.0,537944.0,0.5286,2000,3,23,3,False,False,2052.9700000000003,2020.0100000000002,38780.0,203.46919020114794,2269.05,1945.3
2000-03-24,HCLTECH,EQ,2148.35,2055.0,2185.0,2031.0,2130.0,2123.35,2119.4,113100,23970359000000.0,537944.0,0.5286,2000,3,24,4,False,False,2117.4,2023.03,53800.0,212.52899383901018,2148.35,2100.95
2000-03-27,HCLTECH,EQ,2123.35,2140.0,2205.0,1995.0,2110.0,2102.6,2083.92,87200,18171756500000.0,537944.0,0.5286,2000,3,27,0,False,False,2148.8599999999997,2028.2,69690.0,217.9905227934866,2123.35,2269.05
2000-03-28,HCLTECH,EQ,2102.6,2082.0,2092.0,2000.0,2000.0,2004.5,2005.77,52250,10480134500000.0,537944.0,0.5286,2000,3,28,1,False,False,2129.5699999999997,2028.475,66700.0,210.5460552019699,2102.6,2148.35
2000-03-29,HCLTECH,EQ,2004.5,2050.0,2098.0,2000.0,2022.0,2023.15,2026.34,79100,16028386250000.0,537944.0,0.5286,2000,3,29,2,False,False,2080.3900000000003,2029.795,81140.0,176.4845699896858,2004.5,2123.35
2000-03-30,HCLTECH,EQ,2023.15,1950.0,1970.0,1861.3,1870.0,1865.15,1892.74,41750,7902204500000.0,537944.0,0.5286,2000,3,30,3,False,False,2023.75,2015.2275000000002,74680.0,140.1855274666789,2023.15,2102.6
2000-03-31,HCLTECH,EQ,1865.15,1802.0,1803.0,1715.95,1733.5,1722.05,1720.56,88200,15175315250000.0,537944.0,0.5286,2000,3,31,4,False,True,1943.4900000000002,1988.1924999999999,69700.0,156.3644308978224,1865.15,2004.5
2000-04-03,HCLTECH,EQ,1722.05,1799.0,1800.0,1584.3,1584.3,1584.3,1613.81,74100,11958354000000.0,537944.0,0.5286,2000,4,3,0,False,False,1839.83,1963.3200000000002,67080.0,210.5052406974966,1722.05,2023.15
2000-04-04,HCLTECH,EQ,1584.3,1457.6,1457.6,1457.6,1457.6,1457.6,1457.6,17000,2477920000000.0,537944.0,0.5286,2000,4,4,1,False,False,1730.45,1923.7849999999999,60030.0,265.4456952205308,1584.3,1865.15
2000-04-05,HCLTECH,EQ,1457.6,1341.0,1544.0,1341.0,1477.0,1495.15,1422.25,119800,17038609000000.0,537944.0,0.5286,2000,4,5,2,False,False,1624.85,1886.0549999999998,68170.0,268.414217830079,1457.6,1722.05
2000-04-06,HCLTECH,EQ,1495.15,1545.0,1614.8,1400.0,1614.8,1598.5,1483.37,105800,15694054000000.0,537944.0,0.5286,2000,4,6,3,False,False,1571.52,1862.4900000000002,80980.0,257.18626415930913,1495.15,1584.3
2000-04-07,HCLTECH,EQ,1598.5,1698.0,1726.4,1698.0,1726.4,1726.4,1726.33,19300,3331810000000.0,537944.0,0.5286,2000,4,7,4,False,False,1572.39,1850.0400000000002,67200.0,230.58625862498047,1598.5,1457.6
2000-04-10,HCLTECH,EQ,1726.4,1855.0,1864.55,1855.0,1864.55,1864.55,1864.51,22900,4269724000000.0,537944.0,0.5286,2000,4,10,0,False,False,1628.44,1847.6899999999998,56960.0,201.50505928305216,1726.4,1495.15
2000-04-11,HCLTECH,EQ,1864.55,1864.55,2013.75,1720.0,1927.0,1893.8,1875.19,227450,42651263000000.0,537944.0,0.5286,2000,4,11,1,False,False,1715.6800000000003,1852.4350000000002,99050.0,187.56001417324097,1864.55,1598.5
2000-04-12,HCLTECH,EQ,1893.8,1874.0,1944.0,1742.3,1742.3,1755.4,1886.69,90000,16980210000000.0,537944.0,0.5286,2000,4,12,2,False,False,1767.73,1857.4550000000004,93090.0,156.5014621869915,1893.8,1726.4
2000-04-13,HCLTECH,EQ,1755.4,1617.2,1669.0,1615.0,1615.0,1615.0,1625.12,49150,7987457500000.0,537944.0,0.5286,2000,4,13,3,False,False,1771.03,1854.8175000000003,81760.0,146.1624785602944,1755.4,1864.55
2000-04-17,HCLTECH,EQ,1615.0,1485.8,1485.8,1485.8,1485.8,1485.8,1485.8,850,126293000000.0,537944.0,0.5286,2000,4,17,0,False,False,1722.9100000000003,1839.0475,78070.0,155.81780671312407,1615.0,1893.8
2000-04-18,HCLTECH,EQ,1485.8,1485.8,1550.0,1366.95,1385.0,1377.55,1393.52,169850,23669013000000.0,537944.0,0.5286,2000,4,18,1,False,False,1625.51,1810.6600000000003,107460.0,177.38186405166687,1485.8,1755.4
2000-04-19,HCLTECH,EQ,1377.55,1449.0,1485.0,1267.35,1267.35,1267.95,1350.39,119350,16116933750000.0,537944.0,0.5286,2000,4,19,2,False,False,1500.34,1769.0099999999998,85840.0,205.42456820502693,1377.55,1615.0
2000-04-20,HCLTECH,EQ,1267.95,1249.0,1369.4,1166.55,1369.4,1346.75,1262.07,232650,29362152000000.0,537944.0,0.5286,2000,4,20,3,False,False,1418.61,1722.8949999999998,114370.0,219.37042011680094,1267.95,1485.8
2000-04-24,HCLTECH,EQ,1346.75,1400.0,1454.5,1400.0,1454.5,1454.5,1447.2,40950,5926287500000.0,537944.0,0.5286,2000,4,24,0,False,False,1386.5099999999998,1688.2025,112730.0,223.66586959619414,1346.75,1377.55
2000-04-25,HCLTECH,EQ,1454.5,1340.0,1570.9,1338.15,1570.9,1536.45,1403.36,217300,30494937500000.0,537944.0,0.5286,2000,4,25,1,False,False,1396.64,1658.8575,156020.0,217.72205937591247,1454.5,1267.95
2000-04-26,HCLTECH,EQ,1536.45,1649.0,1659.4,1577.0,1659.4,1659.4,1636.78,23700,3879160000000.0,537944.0,0.5286,2000,4,26,2,False,False,1453.01,1636.6975,126790.0,194.20914957276656,1536.45,1346.75
2000-04-27,HCLTECH,EQ,1659.4,1689.0,1709.0,1526.65,1526.65,1526.65,1607.03,84850,13635657750000.0,537944.0,0.5286,2000,4,27,3,False,False,1504.75,1612.805,119890.0,149.23331183455818,1659.4,1454.5
2000-04-28,HCLTECH,EQ,1526.65,1534.5,1625.0,1425.0,1555.0,1558.0,1553.31,175650,27283813500000.0,537944.0,0.5286,2000,4,28,4,False,False,1547.0,1589.5475000000001,108490.0,122.7817224228038,1526.65,1536.45
2000-05-02,HCLTECH,EQ,1558.0,1590.0,1590.0,1371.05,1371.05,1371.05,1424.27,56300,8018633750000.0,537944.0,0.5286,2000,5,2,1,False,False,1530.31,1564.8425000000002,111560.0,117.72881456031512,1558.0,1659.4
2000-05-03,HCLTECH,EQ,1371.05,1262.0,1480.75,1206.55,1480.75,1424.05,1358.95,163300,22191586500000.0,537944.0,0.5286,2000,5,3,2,False,False,1507.8300000000002,1549.9424999999999,100760.0,117.75197816219642,1371.05,1526.65
2000-05-04,HCLTECH,EQ,1424.05,1450.0,1585.0,1414.0,1537.0,1530.55,1519.93,149600,22738129000000.0,537944.0,0.5286,2000,5,4,3,False,False,1482.06,1547.2549999999999,125940.0,116.90653686218927,1424.05,1558.0
