date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,HDFC,EQ,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,667536400000.0,1021574.0,0.6668999999999999,2000,1,3,0,False,False,,,,,,
2000-01-04,HDFC,EQ,293.5,317.0,317.0,297.0,304.0,304.05,303.62,255251,7749972375000.0,1021574.0,0.6668999999999999,2000,1,4,1,False,False,,,,,293.5,
2000-01-05,HDFC,EQ,304.05,290.0,303.9,285.0,295.0,292.8,294.53,269087,7925367705000.0,1021574.0,0.6668999999999999,2000,1,5,2,False,False,,,,,304.05,
2000-01-06,HDFC,EQ,292.8,301.0,314.0,295.0,296.0,296.45,300.14,305916,9181669105000.0,1021574.0,0.6668999999999999,2000,1,6,3,False,False,,,,,292.8,293.5
2000-01-07,HDFC,EQ,296.45,290.0,296.35,281.0,287.1,286.55,288.8,197039,5690480500000.0,1021574.0,0.6668999999999999,2000,1,7,4,False,False,294.66999999999996,,210007.4,,296.45,304.05
2000-01-10,HDFC,EQ,286.55,292.0,296.0,285.0,288.4,287.2,289.42,133363,3859778795000.001,1021574.0,0.6668999999999999,2000,1,10,0,False,False,293.40999999999997,,232131.2,,286.55,292.8
2000-01-11,HDFC,EQ,287.2,290.0,292.0,273.25,282.85,283.85,284.54,337411,9600616635000.0,1021574.0,0.6668999999999999,2000,1,11,1,False,False,289.37,,248563.2,,287.2,296.45
2000-01-12,HDFC,EQ,283.85,287.0,293.0,284.5,285.25,285.6,287.6,222537,6400216900000.0,1021574.0,0.6668999999999999,2000,1,12,2,False,False,287.93,,239253.2,,283.85,286.55
2000-01-13,HDFC,EQ,285.6,288.0,290.5,283.0,284.0,283.85,285.84,113238,3236741395000.0,1021574.0,0.6668999999999999,2000,1,13,3,False,False,285.41,,200717.6,,285.6,287.2
2000-01-14,HDFC,EQ,283.85,284.0,294.0,276.25,291.0,286.55,283.6,152322,4319904740000.0,1021574.0,0.6668999999999999,2000,1,14,4,False,False,285.40999999999997,,191774.2,6.5466615750149915,283.85,283.85
2000-01-17,HDFC,EQ,286.55,302.0,309.5,295.0,303.5,302.2,302.87,500852,15169252255000.002,1021574.0,0.6668999999999999,2000,1,17,0,False,False,288.41,,265272.0,7.557586328392885,286.55,285.6
2000-01-18,HDFC,EQ,302.2,307.0,317.85,301.05,305.25,305.75,308.57,369304,11395788435000.0,1021574.0,0.6668999999999999,2000,1,18,1,False,False,292.79,,271650.6,7.897474983253253,302.2,283.85
2000-01-19,HDFC,EQ,305.75,310.0,315.0,303.05,304.5,305.25,308.98,377937,11677647125000.0,1021574.0,0.6668999999999999,2000,1,19,2,False,False,296.72,,302730.6,9.090051032737799,305.75,286.55
2000-01-20,HDFC,EQ,305.25,303.0,306.0,288.0,291.9,291.35,297.57,208122,6193173250000.0,1021574.0,0.6668999999999999,2000,1,20,3,False,False,298.21999999999997,,321707.4,8.975245276747462,305.25,302.2
2000-01-21,HDFC,EQ,291.35,292.0,307.0,290.0,299.5,299.55,300.93,591458,17798952630000.0,1021574.0,0.6668999999999999,2000,1,21,4,False,False,300.82,,409534.6,9.068904441980715,291.35,305.75
2000-01-24,HDFC,EQ,299.55,306.0,306.0,291.0,294.0,293.05,295.58,207336,6128411875000.0,1021574.0,0.6668999999999999,2000,1,24,0,False,False,298.99,,350831.4,8.830502691114335,299.55,305.25
2000-01-25,HDFC,EQ,293.05,285.0,308.95,281.0,305.5,303.15,299.56,512403,15349366555000.002,1021574.0,0.6668999999999999,2000,1,25,1,False,False,298.46999999999997,,379451.2,8.542904788315376,293.05,291.35
2000-01-27,HDFC,EQ,303.15,315.9,316.6,309.9,316.6,316.6,316.02,838826,26508714185000.0,1021574.0,0.6668999999999999,2000,1,27,3,False,False,300.74,,471629.0,9.999283307650899,303.15,299.55
2000-01-28,HDFC,EQ,316.6,328.5,328.9,315.0,326.0,324.4,323.32,1224604,39594151950000.0,1021574.0,0.6668999999999999,2000,1,28,4,False,False,307.35,,674925.4,11.416242084562317,316.6,293.05
2000-01-31,HDFC,EQ,324.4,328.7,349.95,320.05,332.5,333.5,336.09,1449638,48720523915000.0,1021574.0,0.6668999999999999,2000,1,31,0,False,True,314.14,298.76,846561.4,13.467578351977924,324.4,303.15
2000-02-01,HDFC,EQ,333.5,337.0,353.9,335.0,351.25,350.55,345.34,1220141,42136299640000.0,1021574.0,0.6668999999999999,2000,2,1,1,True,False,325.64,301.6125,1049122.4,18.93191089140229,333.5,316.6
2000-02-02,HDFC,EQ,350.55,355.0,357.0,342.0,349.0,351.4,349.83,1124774,39347762685000.0,1021574.0,0.6668999999999999,2000,2,2,2,False,False,335.29,303.98,1171596.6,22.36540234876667,350.55,324.4
2000-02-03,HDFC,EQ,351.4,345.55,351.5,338.15,342.0,341.9,344.17,338774,11659509050000.0,1021574.0,0.6668999999999999,2000,2,3,3,False,False,340.35,306.435,1071586.2,23.23388868298477,351.4,333.5
2000-02-04,HDFC,EQ,341.9,342.0,362.4,341.0,350.0,357.2,352.79,1393426,49158003695000.0,1021574.0,0.6668999999999999,2000,2,4,4,False,False,346.90999999999997,309.47249999999997,1105350.6,23.37125727612146,341.9,350.55
2000-02-07,HDFC,EQ,357.2,351.0,362.5,348.15,355.0,355.45,357.09,834598,29803046650000.0,1021574.0,0.6668999999999999,2000,2,7,0,False,False,351.3,312.91749999999996,982342.6,22.7176534390718,357.2,351.4
2000-02-08,HDFC,EQ,355.45,359.0,359.0,345.6,351.0,350.5,351.72,527223,18543334800000.0,1021574.0,0.6668999999999999,2000,2,8,1,False,False,351.28999999999996,316.0825,843759.0,18.430636481443152,355.45,341.9
2000-02-09,HDFC,EQ,350.5,354.0,354.0,322.5,325.0,329.15,331.01,918950,30418080875000.0,1021574.0,0.6668999999999999,2000,2,9,2,False,False,346.84,318.3475,802594.2,14.256442013661063,350.5,357.2
2000-02-10,HDFC,EQ,329.15,329.0,329.0,311.6,321.0,320.35,320.55,406175,13020081855000.0,1021574.0,0.6668999999999999,2000,2,10,3,False,False,342.53,320.085,816074.4,13.574420388689909,329.15,355.45
2000-02-11,HDFC,EQ,320.35,327.0,346.0,313.0,346.0,343.65,338.31,1361815,46071938860000.0,1021574.0,0.6668999999999999,2000,2,11,4,False,False,339.82,323.075,809752.2,12.183095072909293,320.35,350.5
2000-02-14,HDFC,EQ,343.65,354.0,369.0,345.0,354.0,359.15,359.35,1457178,52363608465000.0,1021574.0,0.6668999999999999,2000,2,14,0,False,False,340.56,326.70500000000004,934268.2,12.569389625417243,343.65,329.15
2000-02-15,HDFC,EQ,359.15,352.35,353.5,330.45,332.0,332.6,339.35,629569,21364623070000.0,1021574.0,0.6668999999999999,2000,2,15,1,False,False,336.98,328.225,954737.4,13.106530390949388,359.15,320.35
