date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,HDFCBANK,EQ,157.4,166.0,170.0,166.0,170.0,170.0,169.52,33259,563812250000.0,627197.0,0.6002000000000001,2000,1,3,0,False,False,,,,,,
2000-01-04,HDFCBANK,EQ,170.0,182.0,183.45,171.0,174.0,173.8,174.99,168710,2952261350000.0,627197.0,0.6002000000000001,2000,1,4,1,False,False,,,,,170.0,
2000-01-05,HDFCBANK,EQ,173.8,170.0,173.9,165.0,168.0,166.95,169.2,159820,2704093975000.0,627197.0,0.6002000000000001,2000,1,5,2,False,False,,,,,173.8,
2000-01-06,HDFCBANK,EQ,166.95,168.0,170.0,165.3,168.95,168.3,168.44,85026,1432165990000.0,627197.0,0.6002000000000001,2000,1,6,3,False,False,,,,,166.95,170.0
2000-01-07,HDFCBANK,EQ,168.3,162.15,171.0,162.15,170.75,168.35,166.79,85144,1420157785000.0,627197.0,0.6002000000000001,2000,1,7,4,False,False,169.48,,106391.8,,168.3,173.8
2000-01-10,HDFCBANK,EQ,168.35,172.9,179.5,165.0,166.3,165.9,167.79,100434,1685217295000.0,627197.0,0.6002000000000001,2000,1,10,0,False,False,168.66,,119826.8,,168.35,166.95
2000-01-11,HDFCBANK,EQ,165.9,166.5,167.9,157.0,163.0,163.4,161.4,145784,2352906750000.0,627197.0,0.6002000000000001,2000,1,11,1,False,False,166.58,,115241.6,,165.9,168.3
2000-01-12,HDFCBANK,EQ,163.4,163.75,167.95,162.3,165.1,165.45,163.89,85952,1408657535000.0,627197.0,0.6002000000000001,2000,1,12,2,False,False,166.28,,100468.0,,163.4,168.35
2000-01-13,HDFCBANK,EQ,165.45,169.9,169.9,165.0,165.95,165.1,165.26,48276,797787115000.0,627197.0,0.6002000000000001,2000,1,13,3,False,False,165.64,,93118.0,,165.45,165.9
2000-01-14,HDFCBANK,EQ,165.1,168.0,168.0,164.0,166.0,165.45,164.68,58152,957654390000.0,627197.0,0.6002000000000001,2000,1,14,4,False,False,165.06,,87719.6,2.992787626574554,165.1,163.4
