date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,HINDALC0,EQ,813.45,851.0,878.5,851.0,869.0,867.45,869.86,33799,2940055005000.0,2150299.0,0.4071,2000,1,3,0,False,False,,,,,,
2000-01-04,HINDALC0,EQ,867.45,879.0,930.0,870.0,900.0,900.35,903.51,70944,6409848250000.0,2150299.0,0.4071,2000,1,4,1,False,False,,,,,867.45,
2000-01-05,HINDALC0,EQ,900.35,835.0,972.4,835.0,972.4,972.35,949.32,153030,14527435500000.0,2150299.0,0.4071,2000,1,5,2,False,False,,,,,900.35,
2000-01-06,HINDALC0,EQ,972.35,1050.15,1050.15,1015.1,1045.0,1048.45,1047.08,129708,13581441355000.002,2150299.0,0.4071,2000,1,6,3,False,False,,,,,972.35,867.45
2000-01-07,HINDALC0,EQ,1048.45,1096.0,1120.0,1015.0,1086.0,1094.95,1085.24,138829,15066226300000.0,2150299.0,0.4071,2000,1,7,4,False,False,976.71,,105262.0,,1048.45,900.35
2000-01-10,HINDALC0,EQ,1094.95,1124.0,1124.0,1015.0,1028.0,1022.9,1040.73,43684,4546304000000.0,2150299.0,0.4071,2000,1,10,0,False,False,1007.8,,107239.0,,1094.95,972.35
2000-01-11,HINDALC0,EQ,1022.9,1022.0,1055.0,970.0,985.0,993.25,1016.35,64490,6554410615000.0,2150299.0,0.4071,2000,1,11,1,False,False,1026.3799999999999,,105948.2,,1022.9,1048.45
2000-01-12,HINDALC0,EQ,993.25,1010.0,1017.0,960.0,970.0,971.35,987.17,11011,1086970965000.0,2150299.0,0.4071,2000,1,12,2,False,False,1026.1799999999998,,77544.4,,993.25,1094.95
2000-01-13,HINDALC0,EQ,971.35,965.0,1049.1,965.0,975.0,975.85,1001.73,26722,2676829160000.0,2150299.0,0.4071,2000,1,13,3,False,False,1011.6600000000001,,56947.2,,971.35,1022.9
2000-01-14,HINDALC0,EQ,975.85,980.0,988.0,925.0,947.0,944.1,954.46,15191,1449923675000.0,2150299.0,0.4071,2000,1,14,4,False,False,981.49,,32219.6,66.96415293108527,975.85,993.25
2000-01-17,HINDALC0,EQ,944.1,950.0,967.9,912.05,928.0,924.6,933.01,30094,2807813740000.0,2150299.0,0.4071,2000,1,17,0,False,False,961.8299999999999,,29501.6,58.2482190953318,944.1,971.35
2000-01-18,HINDALC0,EQ,924.6,930.0,930.0,891.1,907.0,914.45,912.05,36267,3307735505000.0,2150299.0,0.4071,2000,1,18,1,False,False,946.07,,23857.0,56.10774481101317,924.6,975.85
2000-01-19,HINDALC0,EQ,914.45,950.0,987.0,925.0,930.0,929.0,947.84,61652,5843608685000.0,2150299.0,0.4071,2000,1,19,2,False,False,937.6,,33985.2,58.903851977419734,914.45,944.1
2000-01-20,HINDALC0,EQ,929.0,950.0,984.0,935.0,942.5,942.7,956.51,83373,7974735570000.0,2150299.0,0.4071,2000,1,20,3,False,False,930.97,,45315.4,54.9891810066105,929.0,924.6
