date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,ICICIBANK,EQ,69.2,74.35,74.75,71.4,74.75,74.75,73.2,286260,2095439040000.0,1963117.0,0.4764,2000,1,3,0,False,False,,,,,,
2000-01-04,ICICIBANK,EQ,74.75,73.05,78.5,71.0,73.25,73.05,73.38,296264,2173892790000.0,1963117.0,0.4764,2000,1,4,1,False,False,,,,,74.75,
2000-01-05,ICICIBANK,EQ,73.05,70.0,73.5,67.5,70.0,69.5,70.85,227624,1612793995000.0,1963117.0,0.4764,2000,1,5,2,False,False,,,,,73.05,
2000-01-06,ICICIBANK,EQ,69.5,71.0,74.0,69.55,69.75,70.05,72.04,275149,1982120640000.0,1963117.0,0.4764,2000,1,6,3,False,False,,,,,69.5,74.75
2000-01-07,ICICIBANK,EQ,70.05,69.0,72.5,66.0,67.0,67.4,68.72,138809,953888205000.0,1963117.0,0.4764,2000,1,7,4,False,False,70.95,,244821.2,,70.05,73.05
2000-01-10,ICICIBANK,EQ,67.4,67.0,71.0,67.0,70.0,69.9,69.78,249656,1742092355000.0,1963117.0,0.4764,2000,1,10,0,False,False,69.97999999999999,,237500.4,,67.4,69.5
2000-01-11,ICICIBANK,EQ,69.9,69.15,70.45,66.1,69.0,69.35,68.89,307601,2119124005000.0,1963117.0,0.4764,2000,1,11,1,False,False,69.24,,239767.8,,69.9,70.05
2000-01-12,ICICIBANK,EQ,69.35,69.0,74.9,69.0,74.9,74.9,74.35,88395,657222050000.0,1963117.0,0.4764,2000,1,12,2,False,False,70.32000000000001,,211922.0,,69.35,67.4
2000-01-13,ICICIBANK,EQ,74.9,80.0,80.9,78.0,79.0,79.35,80.43,494679,3978944790000.0,1963117.0,0.4764,2000,1,13,3,False,False,72.18,,255828.0,,74.9,69.9
2000-01-14,ICICIBANK,EQ,79.35,78.0,80.8,75.0,80.05,79.0,78.15,703072,5494427335000.0,1963117.0,0.4764,2000,1,14,4,False,False,74.5,,368680.6,4.183117524313923,79.35,69.35
2000-01-17,ICICIBANK,EQ,79.0,81.8,85.35,81.8,85.35,85.35,85.32,242095,2065495150000.0,1963117.0,0.4764,2000,1,17,0,False,False,77.59,,367168.4,5.788304779658914,79.0,74.9
2000-01-18,ICICIBANK,EQ,85.35,88.1,88.1,82.0,85.05,84.8,84.69,332383,2814933405000.0,1963117.0,0.4764,2000,1,18,1,False,False,80.67999999999999,,372124.8,6.73732554917421,85.35,79.35
2000-01-19,ICICIBANK,EQ,84.8,88.7,91.6,87.0,91.6,91.6,91.29,319504,2916815725000.0,1963117.0,0.4764,2000,1,19,2,False,False,84.02000000000001,,418346.6,8.210839718864868,84.8,79.0
2000-01-20,ICICIBANK,EQ,91.6,98.9,98.95,95.0,96.15,96.35,97.19,562692,5468978260000.0,1963117.0,0.4764,2000,1,20,3,False,False,87.41999999999999,,431949.2,9.745483284293522,91.6,85.35
2000-01-21,ICICIBANK,EQ,96.35,103.75,103.75,90.65,100.0,99.35,97.3,497788,4843340300000.0,1963117.0,0.4764,2000,1,21,4,False,False,91.49,,390892.4,10.441010221451009,96.35,84.8
2000-01-24,ICICIBANK,EQ,99.35,101.0,107.3,101.0,107.3,107.3,106.59,238959,2547067525000.0,1963117.0,0.4764,2000,1,24,0,False,False,95.88,,390265.2,11.834555101246705,99.35,91.6
