date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2005-03-23,JSWSTL,EQ,10.0,455.0,458.5,383.6,386.9,390.15,419.86,2087710,87653754275000.0,382057,0.183,2005,3,23,2,False,False,,,,,,
2005-03-24,JSWSTL,EQ,390.15,392.85,398.5,357.5,371.8,369.2,372.01,1226479,45626375060000.0,232172,0.1893,2005,3,24,3,False,False,,,,,390.15,
2005-03-28,JSWSTL,EQ,369.2,376.7,394.05,375.0,380.0,378.85,383.64,1235794,47410479745000.0,263415,0.2132,2005,3,28,0,False,False,,,,,369.2,
2005-03-29,JSWSTL,EQ,378.85,382.9,383.8,363.25,369.1,368.05,375.26,624072,23419148680000.0,198916,0.3187,2005,3,29,1,False,False,,,,,378.85,390.15
2005-03-30,JSWSTL,EQ,368.05,367.0,371.9,360.05,362.7,362.15,365.13,466349,17027753015000.0,159641,0.3423,2005,3,30,2,False,False,373.68,,1128080.8,,368.05,369.2
2005-03-31,JSWSTL,EQ,362.15,366.0,375.0,356.65,362.9,362.5,364.46,1203015,43844869335000.0,249796,0.2076,2005,3,31,3,False,True,368.15,,951141.8,,362.15,378.85
2005-04-01,JSWSTL,EQ,362.5,366.0,396.5,361.4,391.0,391.55,384.84,1056290,40650273520000.0,189696,0.1796,2005,4,1,4,True,False,372.62,,917104.0,,362.5,368.05
2005-04-04,JSWSTL,EQ,391.55,393.0,394.0,372.1,372.7,373.65,382.22,359643,13746288944999.998,127320,0.354,2005,4,4,0,False,False,371.58,,741873.8,,391.55,362.15
2005-04-05,JSWSTL,EQ,373.65,375.9,377.9,364.0,367.0,365.75,370.04,279815,10354360305000.0,79782,0.2851,2005,4,5,1,False,False,371.12,,673022.4,,373.65,362.5
2005-04-06,JSWSTL,EQ,365.75,367.0,375.9,367.0,372.2,371.9,372.6,292625,10903062830000.0,91277,0.3119,2005,4,6,2,False,False,373.07,,638277.6,10.499477500227226,365.75,391.55
2005-04-07,JSWSTL,EQ,371.9,377.4,379.0,366.2,367.7,367.8,371.88,189476,7046312775000.0,71582,0.3778,2005,4,7,3,False,False,374.13,,435569.8,8.767864303491729,371.9,373.65
2005-04-08,JSWSTL,EQ,367.8,372.5,372.5,360.25,361.05,362.1,364.65,176133,6422723160000.0,81805,0.4645,2005,4,8,4,False,False,368.23999999999995,,259538.4,9.218315102736147,367.8,365.75
2005-04-11,JSWSTL,EQ,362.1,361.5,365.0,357.0,362.8,361.7,361.02,243663,8796686230000.0,74555,0.306,2005,4,11,0,False,False,365.85,,236342.4,9.071936275006445,362.1,371.9
2005-04-12,JSWSTL,EQ,361.7,361.7,370.0,360.15,369.75,368.9,365.07,198808,7257968945000.0,86260,0.4339,2005,4,12,1,False,False,366.48,,220141.0,9.068994799131087,361.7,367.8
2005-04-13,JSWSTL,EQ,368.9,373.0,374.5,362.1,368.1,366.35,367.88,230785,8490109084999.999,107692,0.4665999999999999,2005,4,13,2,False,False,365.37,,207773.0,8.820657571859364,368.9,362.1
2005-04-15,JSWSTL,EQ,366.35,363.05,365.0,351.0,351.5,354.2,358.09,166222,5952194215000.0,73198,0.4404,2005,4,15,4,False,False,362.65,,203122.2,9.85330739734972,366.35,361.7
