date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2004-06-23,LT,EQ,2.0,500.0,745.0,150.0,638.0,635.95,627.71,2699293,169437184605000.0,395612,0.1466,2004,6,23,2,False,False,,,,,,
2004-06-24,LT,EQ,635.95,630.0,630.0,608.4,612.0,616.0,618.21,913575,56478019835000.0,305751,0.3347,2004,6,24,3,False,False,,,,,635.95,
2004-06-25,LT,EQ,616.0,619.0,679.0,616.1,665.0,668.3,658.45,1637383,107813620084999.98,217950,0.1331,2004,6,25,4,False,False,,,,,616.0,
2004-06-28,LT,EQ,668.3,660.0,671.9,640.2,653.0,656.4,657.39,913349,60042707740000.0,194984,0.2135,2004,6,28,0,False,False,,,,,668.3,635.95
2004-06-29,LT,EQ,656.4,656.0,683.4,653.0,666.85,671.7,675.11,743063,50164878630000.0,101786,0.1369999999999999,2004,6,29,1,False,False,649.67,,1381332.6,,656.4,616.0
2004-06-30,LT,EQ,671.7,672.0,700.0,670.0,697.85,695.15,690.66,722230,49881792325000.0,149425,0.2069,2004,6,30,2,False,True,661.51,,985920.0,,671.7,668.3
2004-07-01,LT,EQ,695.15,702.0,765.0,690.1,764.0,745.2,726.59,1582574,114988349505000.0,185737,0.1174,2004,7,1,3,True,False,687.35,,1119719.8,,695.15,656.4
2004-07-02,LT,EQ,745.2,745.0,780.0,724.65,727.0,730.5,753.03,2988945,225076076215000.0,268657,0.0899,2004,7,2,4,False,False,699.79,,1390032.2,,745.2,671.7
2004-07-05,LT,EQ,730.5,728.2,743.5,711.1,714.0,719.05,726.0,1272188,92361014640000.0,130172,0.1023,2004,7,5,0,False,False,712.3199999999999,,1461800.0,,730.5,695.15
2004-07-06,LT,EQ,719.05,721.8,738.0,715.3,727.9,729.6,726.59,1081518,78582238420000.0,238350,0.2203999999999999,2004,7,6,1,False,False,723.9,,1529491.0,43.912356208449786,719.05,745.2
2004-07-07,LT,EQ,729.6,733.0,739.0,725.2,726.3,727.7,733.01,603840,44261787225000.0,143884,0.2382999999999999,2004,7,7,2,False,False,730.4100000000001,,1505813.0,41.63690803975619,729.6,730.5
2004-07-08,LT,EQ,727.7,730.0,742.0,695.7,710.0,711.95,728.55,582272,42421530605000.0,127203,0.2185,2004,7,8,3,False,False,723.76,,1305752.6,30.811482798174886,727.7,719.05
2004-07-09,LT,EQ,711.95,695.0,748.0,625.0,744.0,744.75,730.56,564885,41268024340000.0,121476,0.215,2004,7,9,4,False,False,726.61,,820940.6,30.01477413985776,711.95,729.6
2004-07-12,LT,EQ,744.75,744.0,752.0,717.5,720.0,724.25,732.69,344052,25208428120000.0,97407,0.2831,2004,7,12,0,False,False,727.65,,635313.4,22.468447629707274,744.75,727.7
2004-07-13,LT,EQ,724.25,727.7,739.9,720.0,737.9,731.15,728.34,236313,17211603015000.0,56616,0.2396,2004,7,13,1,False,False,727.96,,466272.4,14.844624915736338,724.25,711.95
2004-07-14,LT,EQ,731.15,738.0,740.0,712.15,716.75,716.8,725.46,268530,19480664900000.0,127144,0.4735,2004,7,14,2,False,False,725.78,,399210.4,10.915545743979104,731.15,744.75
2004-07-15,LT,EQ,716.8,725.0,732.0,715.0,726.0,724.4,724.59,203453,14741934575000.0,35748,0.1757,2004,7,15,3,False,False,728.27,,323446.6,9.129623638342855,716.8,724.25
2004-07-16,LT,EQ,724.4,727.8,763.9,727.0,754.9,755.95,752.54,820709,61761638625000.0,220221,0.2683,2004,7,16,4,False,False,730.51,,374611.4,13.171387339398079,724.4,731.15
2004-07-19,LT,EQ,755.95,758.8,777.0,748.0,764.0,765.15,765.87,776088,59438595635000.0,202984,0.2615,2004,7,19,0,False,False,738.6899999999999,,461018.6,16.987694893003884,755.95,716.8
2004-07-20,LT,EQ,765.15,762.0,799.0,756.0,791.15,792.8,783.49,1624418,127271627820000.0,239247,0.1473,2004,7,20,1,False,False,751.02,713.1375,738639.6,25.256031182890272,765.15,724.4
2004-07-21,LT,EQ,792.8,795.0,806.2,776.15,785.0,796.3,798.03,1116756,89120508205000.0,227763,0.204,2004,7,21,2,False,False,766.9200000000001,721.155,908284.8,30.475090009893798,792.8,755.95
2004-07-22,LT,EQ,796.3,794.8,806.7,775.25,781.0,784.2,795.51,674330,53643787135000.0,195573,0.29,2004,7,22,3,False,False,778.88,729.5649999999999,1002460.2,29.973759357144736,796.3,765.15
2004-07-23,LT,EQ,784.2,784.0,789.0,765.2,778.0,775.65,773.5,566045,43783348195000.0,234804,0.4148,2004,7,23,4,False,False,782.8199999999999,734.9325,951527.4,30.550105018914252,784.2,792.8
2004-07-26,LT,EQ,775.65,760.0,783.7,755.0,776.3,774.9,772.17,678799,52414694670000.0,198611,0.2926,2004,7,26,0,False,False,784.7699999999999,740.8575,932069.6,28.722853850781593,775.65,796.3
2004-07-27,LT,EQ,774.9,779.95,797.0,755.2,791.3,790.45,787.18,402026,31646716440000.0,106191,0.2641,2004,7,27,1,False,False,784.3,746.795,687591.2,27.815011934006385,774.9,784.2
