date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2003-07-14,MARUTI,EQ,173.35,174.25,179.25,174.25,178.6,177.95,177.91,5982324,106431310030000.0,1949217.0,0.3258,2003,7,14,0,False,False,,,,,,
2003-07-15,MARUTI,EQ,177.95,200.0,200.0,173.0,176.3,176.2,176.88,6173689,109200079040000.02,1307694.0,0.2118,2003,7,15,1,False,False,,,,,177.95,
2003-07-16,MARUTI,EQ,176.2,176.45,179.1,175.35,176.9,177.1,177.59,3759085,66756950310000.0,1155442.0,0.3074,2003,7,16,2,False,False,,,,,176.2,
2003-07-17,MARUTI,EQ,177.1,177.5,178.0,170.65,170.7,172.2,175.48,3814181,66930296870000.01,1064071.0,0.2789999999999999,2003,7,17,3,False,False,,,,,177.1,177.95
2003-07-18,MARUTI,EQ,172.2,165.0,171.9,160.0,167.4,167.4,167.66,5375212,90119032225000.0,1427995.0,0.2657,2003,7,18,4,False,False,174.17,,5020898.2,,172.2,176.2
2003-07-21,MARUTI,EQ,167.4,169.0,169.4,163.05,164.0,164.9,166.67,3315845,55266461654999.99,980379.0,0.2957,2003,7,21,0,False,False,171.56,,4487602.4,,167.4,177.1
2003-07-22,MARUTI,EQ,164.9,164.0,169.15,162.1,168.6,167.25,165.06,4627992,76391242225000.0,1257167.0,0.2716,2003,7,22,1,False,False,169.77,,4178463.0,,164.9,172.2
2003-07-24,MARUTI,EQ,174.7,175.9,177.0,172.85,173.65,174.1,174.45,4305936,75115291565000.0,978929.0,0.2273,2003,7,24,3,False,False,169.17,,4287833.2,,167.25,167.4
2003-07-25,MARUTI,EQ,174.1,174.4,175.0,172.1,174.0,173.65,173.66,2832967,49196036840000.0,660197.0,0.233,2003,7,25,4,False,False,169.46,,4091590.4,,174.1,164.9
2003-07-28,MARUTI,EQ,173.65,188.0,188.0,175.1,179.25,178.85,178.01,5415867,96408533950000.0,1588110.0,0.2932,2003,7,28,0,False,False,171.75,,4099721.4,4.922330071554862,173.65,167.25
2003-07-29,MARUTI,EQ,178.85,179.95,182.9,179.1,180.2,180.3,180.93,5229181,94609623670000.0,1063536.0,0.2034,2003,7,29,1,False,False,174.82999999999998,,4482388.6,5.233304140045963,178.85,174.1
2003-07-30,MARUTI,EQ,180.3,181.25,184.75,180.1,180.25,181.1,182.55,4632246,84560187540000.0,1030033.0,0.2224,2003,7,30,2,False,False,177.6,,4483239.4,5.749833330917803,180.3,173.65
2003-07-31,MARUTI,EQ,181.1,181.7,183.65,179.65,181.0,180.85,181.87,3562717,64793564979999.99,1074106.0,0.3015,2003,7,31,3,False,True,178.95,,4334595.6,6.108409503845223,181.1,178.85
2003-08-06,MARUTI,EQ,193.6,191.5,197.5,189.85,191.75,191.6,193.45,7451054,144143452865000.0,967268.0,0.1298,2003,8,6,2,False,False,182.54,,5258213.0,8.181075723888632,180.85,180.3
2003-08-07,MARUTI,EQ,191.6,193.5,196.0,192.25,195.7,195.4,194.27,3223676,62627593460000.0,385620.0,0.1196,2003,8,7,3,False,False,185.85,,4819774.8,9.582217326323219,191.6,181.1
2003-08-08,MARUTI,EQ,195.4,197.0,198.9,196.0,197.5,197.15,197.37,2530289,49939316385000.0,437784.0,0.173,2003,8,8,4,False,False,189.22,,4279996.4,9.808591755304244,195.4,180.85
2003-08-11,MARUTI,EQ,197.15,198.1,203.8,196.0,201.8,202.2,201.71,5651311,113992705690000.02,1265689.0,0.2239999999999999,2003,8,11,0,False,False,193.44,,4483809.4,10.17871417332379,197.15,191.6
2003-08-14,MARUTI,EQ,217.8,223.0,224.4,215.0,217.75,216.55,220.36,6298655,138799640305000.0,1355058.0,0.2151,2003,8,14,3,False,False,200.57999999999998,,5030997.0,13.269431244614685,202.2,195.4
2003-08-18,MARUTI,EQ,216.55,218.1,221.0,215.4,218.25,216.9,217.99,3382031,73724577785000.0,611465.0,0.1808,2003,8,18,0,False,False,205.64000000000001,,4217192.4,14.430904337566696,216.55,197.15
2003-08-19,MARUTI,EQ,216.9,219.85,219.9,215.0,215.3,215.65,216.41,3080091,66657748229999.99,1069345.0,0.3472,2003,8,19,1,False,False,209.69,185.365,4188475.4,14.800191440203339,216.9,202.2
2003-08-20,MARUTI,EQ,215.65,217.4,226.45,217.3,226.0,225.0,222.96,6049174,134870017690000.02,1340738.0,0.2216,2003,8,20,2,False,False,215.26,187.71750000000003,4892252.4,15.662673249906451,215.65,216.55
2003-08-21,MARUTI,EQ,225.0,227.0,228.9,223.3,228.1,227.95,226.97,4012069,91062556560000.0,1079196.0,0.269,2003,8,21,3,False,False,220.41,190.305,4564404.0,15.64355120950631,225.0,216.9
2003-08-22,MARUTI,EQ,227.95,228.05,232.8,225.9,229.2,229.3,229.44,4436016,101781757505000.0,914376.0,0.2061,2003,8,22,4,False,False,222.95999999999998,192.91500000000002,4191876.2,14.096812090366857,227.95,215.65
2003-08-25,MARUTI,EQ,229.3,230.0,231.45,216.1,220.5,221.05,222.47,4827198,107392371880000.0,1391187.0,0.2882,2003,8,25,0,False,False,223.79000000000002,195.35750000000002,4480909.6,12.387449966262986,229.3,225.0
