date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,M&M,EQ,419.75,453.3,453.35,448.9,453.35,453.35,453.18,67195,3045173830000.0,542704.0,0.5098,2000,1,3,0,False,False,,,,,,
2000-01-04,M&M,EQ,453.35,489.6,489.65,489.6,489.65,489.65,489.65,37470,1834710050000.0,542704.0,0.5098,2000,1,4,1,False,False,,,,,453.35,
2000-01-05,M&M,EQ,489.65,528.85,528.85,451.15,519.0,514.85,521.37,227621,11867452450000.0,542704.0,0.5098,2000,1,5,2,False,False,,,,,489.65,
2000-01-06,M&M,EQ,514.85,528.0,550.0,518.0,521.0,524.55,538.27,198870,10704557575000.0,542704.0,0.5098,2000,1,6,3,False,False,,,,,514.85,453.35
2000-01-07,M&M,EQ,524.55,515.0,522.0,490.0,498.9,496.4,508.09,91052,4626257510000.0,542704.0,0.5098,2000,1,7,4,False,False,495.76000000000005,,124441.6,,524.55,489.65
2000-01-10,M&M,EQ,496.4,509.9,535.0,491.7,495.0,497.2,509.86,83454,4255011195000.001,542704.0,0.5098,2000,1,10,0,False,False,504.53000000000003,,127693.4,,496.4,514.85
2000-01-11,M&M,EQ,497.2,514.0,537.0,510.1,537.0,532.8,527.14,250382,13198633825000.0,542704.0,0.5098,2000,1,11,1,False,False,513.1600000000001,,170275.8,,497.2,524.55
2000-01-12,M&M,EQ,532.8,540.0,550.0,490.2,490.2,490.25,515.33,136009,7008983525000.0,542704.0,0.5098,2000,1,12,2,False,False,508.23999999999995,,151953.4,,532.8,496.4
2000-01-13,M&M,EQ,490.25,516.0,520.0,465.5,502.5,499.0,500.01,85954,4297755935000.0,542704.0,0.5098,2000,1,13,3,False,False,503.12999999999994,,129370.2,,490.25,497.2
2000-01-14,M&M,EQ,499.0,500.0,525.0,490.1,519.0,519.0,510.06,79448,4052359510000.0,542704.0,0.5098,2000,1,14,4,False,False,507.65,,127049.4,22.68431237172018,499.0,532.8
2000-01-17,M&M,EQ,519.0,538.0,560.55,538.0,560.55,560.55,554.58,163004,9039883035000.0,542704.0,0.5098,2000,1,17,0,False,False,520.3199999999999,,142959.4,22.623847423067105,519.0,490.25
2000-01-18,M&M,EQ,560.55,570.0,595.95,550.25,590.0,573.95,567.55,293023,16630467540000.0,542704.0,0.5098,2000,1,18,1,False,False,528.55,,151487.6,28.210561950368035,560.55,499.0
2000-01-19,M&M,EQ,573.95,601.0,619.9,572.0,590.0,599.2,604.94,327481,19810765985000.0,542704.0,0.5098,2000,1,19,2,False,False,550.34,,189782.0,37.3465884207201,573.95,519.0
2000-01-20,M&M,EQ,599.2,597.95,597.95,566.0,575.75,572.35,579.85,107183,6215032095000.0,542704.0,0.5098,2000,1,20,3,False,False,565.01,,194027.8,39.65983274464647,599.2,560.55
2000-01-21,M&M,EQ,572.35,585.0,585.0,544.0,550.0,550.0,555.65,91545,5086675355000.0,542704.0,0.5098,2000,1,21,4,False,False,571.21,,196447.2,37.57002499038,572.35,573.95
2000-01-24,M&M,EQ,550.0,539.1,549.9,511.25,516.0,514.7,529.17,45765,2421753275000.0,542704.0,0.5098,2000,1,24,0,False,False,562.0400000000001,,172999.4,35.74778314804989,550.0,599.2
2000-01-25,M&M,EQ,514.7,516.0,519.75,491.2,510.0,507.25,505.87,91169,4611952550000.0,542704.0,0.5098,2000,1,25,1,False,False,548.7,,132628.6,37.29294876753214,514.7,572.35
2000-01-27,M&M,EQ,507.25,540.0,540.0,475.0,502.0,499.3,505.17,92630,4679376090000.0,542704.0,0.5098,2000,1,27,3,False,False,528.72,,85658.4,36.07861939955265,507.25,550.0
2000-01-28,M&M,EQ,499.3,508.0,519.9,500.0,511.0,511.1,507.13,56869,2884018195000.0,542704.0,0.5098,2000,1,28,4,False,False,516.47,,75595.6,34.74661294444554,499.3,514.7
2000-01-31,M&M,EQ,511.1,507.0,517.5,500.0,506.0,507.75,509.54,39681,2021914520000.0,542704.0,0.5098,2000,1,31,0,False,True,508.0200000000001,520.6600000000001,65222.8,35.69780611061568,511.1,507.25
2000-02-01,M&M,EQ,507.75,509.0,513.75,475.0,490.0,481.95,493.68,134808,6655240360000.0,542704.0,0.5098,2000,2,1,1,True,False,501.46999999999997,522.0899999999999,83031.4,39.06999736939387,507.75,499.3
2000-02-02,M&M,EQ,481.95,500.0,520.55,498.0,520.55,520.55,515.8,89805,4632140050000.0,542704.0,0.5098,2000,2,2,2,False,False,504.12999999999994,523.635,82758.6,36.206445482047016,481.95,511.1
2000-02-03,M&M,EQ,520.55,540.0,558.7,515.05,520.0,519.2,529.31,52038,2754444020000.0,542704.0,0.5098,2000,2,3,3,False,False,508.11,523.8525,74640.2,25.63105809148125,520.55,507.75
2000-02-04,M&M,EQ,519.2,516.0,522.9,501.0,507.25,509.2,512.06,31704,1623425545000.0,542704.0,0.5098,2000,2,4,4,False,False,507.73,523.085,69607.2,17.287439242280872,519.2,481.95
2000-02-07,M&M,EQ,509.2,497.0,512.9,497.0,509.0,505.85,507.48,29028,1473124465000.0,542704.0,0.5098,2000,2,7,0,False,False,507.35,523.5575000000001,67476.6,11.04249493748771,509.2,520.55
2000-02-08,M&M,EQ,505.85,514.9,546.35,514.9,546.35,546.35,532.57,121487,6470010920000.0,542704.0,0.5098,2000,2,8,1,False,False,520.2300000000001,526.015,64812.4,16.475672301237815,505.85,519.2
2000-02-09,M&M,EQ,546.35,580.0,589.0,520.0,526.1,529.2,542.49,139867,7587588470000.0,542704.0,0.5098,2000,2,9,2,False,False,521.96,525.835,74824.8,17.380104366135875,546.35,509.2
2000-02-10,M&M,EQ,529.2,535.25,571.55,535.25,571.55,571.25,567.65,383118,21747850440000.0,542704.0,0.5098,2000,2,10,3,False,False,532.3700000000001,529.885,141040.8,24.49450958888538,529.2,505.85
2000-02-11,M&M,EQ,571.25,589.0,616.95,589.0,616.95,616.95,612.31,377618,23121936010000.0,542704.0,0.5098,2000,2,11,4,False,False,553.9200000000001,535.7825,210223.6,38.799615189958864,571.25,546.35
2000-02-14,M&M,EQ,616.95,659.5,664.0,620.0,645.25,653.8,650.22,424416,27596204135000.004,542704.0,0.5098,2000,2,14,0,False,False,583.51,542.5225,289301.2,53.75461323872064,616.95,529.2
2000-02-15,M&M,EQ,653.8,625.0,627.95,601.5,601.5,601.5,609.13,56309,3429959910000.0,542704.0,0.5098,2000,2,15,1,False,False,594.54,544.5699999999999,276265.6,51.30620522358323,653.8,571.25
2000-02-16,M&M,EQ,601.5,609.0,610.0,553.4,553.4,553.4,559.29,18410,1029644520000.0,542704.0,0.5098,2000,2,16,2,False,False,599.38,543.5425,251974.2,49.71260850573462,601.5,616.95
2000-02-17,M&M,EQ,553.4,510.25,558.9,509.15,529.4,529.45,531.44,147757,7852428420000.0,542704.0,0.5098,2000,2,17,3,False,False,591.02,540.0550000000001,204902.0,48.860927641623775,553.4,653.8
2000-02-18,M&M,EQ,529.45,525.0,538.5,490.2,500.0,496.0,510.45,217637,11109327860000.0,542704.0,0.5098,2000,2,18,4,False,False,566.8299999999999,536.2375,172905.8,50.58457851295518,529.45,601.5
2000-02-21,M&M,EQ,496.0,505.0,515.0,492.0,506.0,507.8,502.9,123665,6219104995000.0,542704.0,0.5098,2000,2,21,0,False,False,537.63,534.1274999999999,112755.6,50.354268273239036,496.0,553.4
2000-02-22,M&M,EQ,507.8,491.25,520.0,491.25,514.0,515.4,507.46,252087,12792503235000.0,542704.0,0.5098,2000,2,22,1,False,False,520.4100000000001,534.1625,151911.2,52.24121536998663,507.8,529.45
