date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2004-11-09,NTPC,EQ,75.2,75.1,76.1,74.55,75.25,75.3,75.28,37460886,282023582430000.0,13585363,0.3627,2004,11,9,1,False,False,,,,,,
2004-11-10,NTPC,EQ,75.3,75.5,75.95,75.0,75.05,75.05,75.32,17413433,131158506690000.02,7039001,0.4042,2004,11,10,2,False,False,,,,,75.3,
2004-11-11,NTPC,EQ,75.05,75.35,75.4,74.3,74.6,74.45,74.74,15961426,119303674940000.02,7286922,0.4565,2004,11,11,3,False,False,,,,,75.05,
2004-11-12,NTPC,EQ,74.45,75.0,82.4,73.65,74.55,74.65,74.74,4253463,31788626040000.0,1806432,0.4247,2004,11,12,4,False,False,,,,,74.45,75.3
2004-11-16,NTPC,EQ,74.65,74.7,74.8,73.2,73.7,73.65,73.72,13254394,97706507080000.0,6543421,0.4936999999999999,2004,11,16,1,False,False,74.62,,17668720.4,,74.65,75.05
2004-11-17,NTPC,EQ,73.65,73.7,75.2,73.5,73.7,73.6,74.23,20036184,148719700100000.0,7819062,0.3902,2004,11,17,2,False,False,74.28,,14183780.0,,73.65,74.45
2004-11-18,NTPC,EQ,73.6,75.0,79.85,73.5,73.5,73.65,73.8,17954359,132497882330000.0,9071077,0.5052000000000001,2004,11,18,3,False,False,74.00000000000001,,14291965.2,,73.6,74.65
2004-11-19,NTPC,EQ,73.65,73.65,74.85,73.5,73.65,73.55,74.08,15895741,117753450300000.0,8138014,0.512,2004,11,19,4,False,False,73.82000000000001,,14278828.2,,73.65,73.65
2004-11-22,NTPC,EQ,73.55,73.6,75.05,72.0,74.4,74.45,73.85,28118069,207649208910000.0,12337075,0.4388,2004,11,22,0,False,False,73.78,,19051749.4,,73.55,73.6
2004-11-23,NTPC,EQ,74.45,75.0,76.5,74.95,76.1,75.85,75.92,29755772,225906003425000.0,13668019,0.4593,2004,11,23,1,False,False,74.22,,22352025.0,0.8087026647662315,74.45,73.65
2004-11-24,NTPC,EQ,75.85,76.55,78.0,76.2,77.85,77.8,77.38,30821250,238484277075000.0,14396654,0.4671,2004,11,24,2,False,False,75.06,,24509038.2,1.3296198287062726,75.85,73.55
2004-11-25,NTPC,EQ,77.8,77.9,79.0,76.8,76.95,77.05,77.95,23538442,183489368265000.0,10911931,0.4636,2004,11,25,3,False,False,75.74,,25625854.8,1.528652274972235,77.8,74.45
