date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2007-10-10,POWERGRID,EQ,101.95,104.6,105.0,102.0,102.65,102.9,103.66,38211410,396088698370000.0,16409289,0.4294,2007,10,10,2,False,False,,,,,,
2007-10-15,POWERGRID,EQ,113.65,116.0,116.7,114.15,115.4,115.15,115.71,23520928,272164614990000.0,9028767,0.3839,2007,10,15,0,False,False,,,,,102.9,
2007-10-25,POWERGRID,EQ,136.9,132.25,139.8,120.65,137.3,136.6,137.47,19418905,266956626805000.03,6008777,0.3094,2007,10,25,3,False,False,,,,,115.15,
2007-10-29,POWERGRID,EQ,140.7,143.0,147.0,142.3,143.1,143.55,144.33,24557461,354429440000000.0,7284440,0.2966,2007,10,29,0,False,False,,,,,136.6,102.9
2007-10-31,POWERGRID,EQ,146.75,147.5,153.1,147.0,149.55,149.8,151.11,25118651,379559192405000.0,7008611,0.2789999999999999,2007,10,31,2,False,True,129.6,,26165471.0,,143.55,115.15
2007-11-01,POWERGRID,EQ,149.8,153.5,154.65,145.25,145.7,146.45,150.41,28480784,428392597410000.0,7801087,0.2739,2007,11,1,3,True,False,138.31,,24219345.8,,149.8,136.6
2007-11-02,POWERGRID,EQ,146.45,141.15,150.0,140.0,149.85,149.1,147.19,18000957,264963994600000.0,4584990,0.2547,2007,11,2,4,False,False,145.1,,23115351.6,,146.45,143.55
2007-11-05,POWERGRID,EQ,149.1,149.0,155.5,148.1,152.15,152.15,153.13,21843644,334485095545000.0,6005421,0.2749,2007,11,5,0,False,False,148.21,,23600299.4,,149.1,149.8
2007-11-07,POWERGRID,EQ,154.15,157.0,159.2,148.5,152.0,151.9,153.22,18896147,289533435875000.0,3881369,0.2054,2007,11,7,2,False,False,149.88,,22468036.6,,152.15,146.45
2007-11-08,POWERGRID,EQ,151.9,148.0,153.35,146.0,149.7,149.3,150.23,15744672,236531471720000.0,4096339,0.2602,2007,11,8,3,False,False,149.78000000000003,,20593240.8,17.04017801158973,151.9,149.1
2007-11-09,POWERGRID,EQ,149.3,155.0,155.0,146.7,147.3,148.7,149.91,4863716,72913695140000.0,2342425,0.4816,2007,11,9,4,False,False,150.23,,15869827.2,11.21120966810547,149.3,152.15
2007-11-12,POWERGRID,EQ,148.7,144.8,155.6,140.85,155.3,152.9,147.32,19773981,291302250525000.0,5368878,0.2715,2007,11,12,0,False,False,150.98999999999998,,16224432.0,4.890094863883226,148.7,151.9
2007-11-13,POWERGRID,EQ,152.9,155.5,159.7,150.55,157.0,156.55,157.23,24654680,387654199050000.0,5758083,0.2335,2007,11,13,1,False,False,151.87,,16786639.2,3.60191307193511,152.9,149.3
2007-11-14,POWERGRID,EQ,156.55,159.3,161.5,153.7,154.4,154.5,156.06,20665456,322506755920000.0,7992748,0.3868,2007,11,14,2,False,False,152.39000000000001,,17140501.0,3.028480550448305,156.55,148.7
2007-11-15,POWERGRID,EQ,154.5,157.4,159.85,154.15,156.95,157.1,157.14,16448771,258474391090000.0,7566389,0.46,2007,11,15,3,False,False,153.95,,17281320.8,3.5121258203226393,154.5,152.9
2007-11-16,POWERGRID,EQ,157.1,156.4,159.55,154.2,156.55,156.0,156.99,10628606,166853904015000.0,4450225,0.4186999999999999,2007,11,16,4,False,False,155.41,,18434298.8,3.1564924274332764,157.1,156.55
2007-11-19,POWERGRID,EQ,156.0,159.55,167.5,158.35,161.8,161.65,163.03,22903160,373379978050000.0,9047447,0.395,2007,11,19,0,False,False,157.16000000000003,,19060134.6,3.9165070889476237,156.0,154.5
2007-11-20,POWERGRID,EQ,161.65,161.0,165.5,157.2,159.8,159.15,162.68,14817475,241055543795000.0,4836357,0.3264,2007,11,20,1,False,False,157.68,,17092693.6,4.152659790222717,161.65,157.1
2007-11-21,POWERGRID,EQ,159.15,160.1,161.05,143.2,148.85,146.75,152.65,15083160,230237105875000.0,6639463,0.4402,2007,11,21,2,False,False,156.13,,15976234.4,4.815299690684924,159.15,156.0
2007-11-22,POWERGRID,EQ,146.75,145.2,151.1,135.55,144.55,141.7,141.39,19179109,271182416365000.0,6416845,0.3346,2007,11,22,3,False,False,153.05,146.595,16522302.0,6.110646446980811,146.75,161.65
2007-11-23,POWERGRID,EQ,141.7,151.0,152.0,142.6,151.95,151.1,147.3,15561055,229216801040000.0,4145734,0.2664,2007,11,23,4,False,False,152.07,149.005,17508791.8,5.946091153018025,141.7,159.15
2007-11-26,POWERGRID,EQ,151.1,156.7,156.7,151.1,152.25,152.3,153.73,11339510,174317273690000.0,4362239,0.3847,2007,11,26,0,False,False,150.2,150.8625,15196061.8,5.958523306994714,151.1,146.75
2007-11-27,POWERGRID,EQ,152.3,154.9,154.9,147.0,148.5,148.55,149.41,11572427,172903952340000.0,5776547,0.4992,2007,11,27,1,False,False,148.07999999999998,151.45999999999998,14547052.2,6.066446882465629,152.3,141.7
2007-11-28,POWERGRID,EQ,148.55,151.8,152.5,145.35,146.5,146.35,149.66,9244865,138360140820000.0,3469852,0.3753,2007,11,28,2,False,False,148.0,151.6,13379393.2,6.364748838546332,148.55,151.1
2007-11-29,POWERGRID,EQ,146.35,150.0,150.8,140.55,142.0,142.4,144.25,14361173,207164703920000.0,8354649,0.5818,2007,11,29,3,False,False,148.14,151.23,12415806.0,6.758058975113353,146.35,152.3
2007-11-30,POWERGRID,EQ,142.4,145.0,148.8,143.0,148.0,147.9,146.09,10371221,151514552020000.0,4232722,0.4081,2007,11,30,4,False,True,147.5,151.3025,11377839.2,6.519460185560617,142.4,148.55
2007-12-03,POWERGRID,EQ,147.9,149.7,151.85,148.55,149.75,150.0,150.29,9478818,142453366810000.0,4097054,0.4322,2007,12,3,0,False,False,147.04000000000002,151.3475,11005700.8,5.035716874928863,147.9,146.35
2007-12-04,POWERGRID,EQ,150.0,151.0,152.25,146.95,148.55,148.05,149.99,7879911,118191565109999.98,3393853,0.4307,2007,12,4,1,False,False,146.94,151.1425,10267197.6,3.4213220316777018,150.0,142.4
2007-12-05,POWERGRID,EQ,148.05,148.3,154.5,148.0,154.3,153.95,151.69,15595480,236560851290000.0,7495567,0.4806,2007,12,5,2,False,False,148.45999999999998,151.245,11537320.6,3.9589701242170645,148.05,147.9
2007-12-06,POWERGRID,EQ,153.95,157.3,159.65,149.15,151.6,151.1,154.27,13558903,209168333735000.0,5538365,0.4085,2007,12,6,3,False,False,150.2,151.33499999999998,11376866.6,3.296816646402843,153.95,150.0
2007-12-07,POWERGRID,EQ,151.1,152.05,154.2,147.75,150.1,150.45,150.57,6605094,99452206475000.0,2124308,0.3216,2007,12,7,4,False,False,150.70999999999998,151.4225,10623641.2,3.260747187719573,151.1,148.05
2007-12-10,POWERGRID,EQ,150.45,151.9,152.45,148.65,150.55,150.6,150.52,4685632,70528517205000.0,1603184,0.3421,2007,12,10,0,False,False,150.82999999999998,151.3075,9665004.0,3.1168048097725145,150.45,153.95
2007-12-11,POWERGRID,EQ,150.6,151.95,152.8,149.15,150.0,149.9,151.05,6573349,99289215370000.0,2935846,0.4466,2007,12,11,1,False,False,151.2,150.975,9403691.6,3.127494559902719,150.6,151.1
2007-12-12,POWERGRID,EQ,149.9,148.0,151.15,147.0,149.9,149.8,149.58,9192451,137497784545000.0,5718099,0.622,2007,12,12,2,False,False,150.36999999999998,150.73999999999998,8123085.8,2.980962745303573,149.9,150.45
2007-12-13,POWERGRID,EQ,149.8,150.85,152.0,146.7,147.05,147.3,149.75,8230435,123254679559999.98,4597276,0.5586,2007,12,13,3,False,False,149.61,150.25,7057392.2,1.910126522859765,149.8,150.6
2007-12-14,POWERGRID,EQ,147.3,146.8,148.15,145.1,145.5,145.85,146.33,6182918,90476591100000.0,3222196,0.5211,2007,12,14,4,False,False,148.69,149.7425,6972957.0,2.2320892057041988,147.3,149.9
2007-12-17,POWERGRID,EQ,145.85,146.7,147.5,135.0,138.5,137.05,140.58,10887572,153058592645000.0,6800138,0.6246,2007,12,17,0,False,False,145.98000000000002,148.5125,8213345.0,4.570463749871305,145.85,149.8
2007-12-18,POWERGRID,EQ,137.05,135.5,141.0,132.2,137.25,136.45,136.36,12154381,165734760130000.0,5525460,0.4546,2007,12,18,1,False,False,143.29000000000002,147.3775,9329551.4,5.93803418649629,137.05,147.3
2007-12-19,POWERGRID,EQ,136.45,140.85,142.05,132.8,135.0,133.95,137.34,10983891,150847767880000.0,5778187,0.5261,2007,12,19,2,False,False,140.12,146.7375,9687839.4,6.742421671773315,136.45,145.85
2007-12-20,POWERGRID,EQ,133.95,135.7,136.8,132.0,133.2,132.6,134.35,9621680,129271667384999.98,4812338,0.5002000000000001,2007,12,20,3,False,False,137.18,146.2825,9966088.4,7.457526027071087,133.95,137.05
2007-12-24,POWERGRID,EQ,132.6,134.6,138.8,133.5,136.65,136.65,136.15,9400232,127987149370000.0,4664427,0.4962,2007,12,24,0,False,False,135.33999999999997,145.56,10609551.2,7.2817141602173,132.6,136.45
2007-12-26,POWERGRID,EQ,136.65,137.4,142.5,137.4,141.8,140.8,140.78,11773181,165737622825000.0,5840278,0.4961,2007,12,26,2,False,False,136.09,144.98499999999999,10786673.0,6.628056946714231,136.65,133.95
