date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,111131914445000.0,1810434.0,0.44944999999999996,2000,1,3,0,False,False,,,,,,
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000.0,1810434.0,0.44944999999999996,2000,1,4,1,False,False,,,,,251.7,
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286,463325404090000.0,1810434.0,0.44944999999999996,2000,1,6,3,False,False,,,,,271.85,
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977,613838765740000.0,1810434.0,0.44944999999999996,2000,1,7,4,False,False,,,,,294.35,251.7
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,419085494795000.0,1810434.0,0.44944999999999996,2000,1,10,0,False,False,288.19,,12582924.4,,314.55,271.85
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,371819207090000.0,1810434.0,0.44944999999999996,2000,1,11,1,False,False,295.55,,14200504.0,,308.5,294.35
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,356708113910000.0,1810434.0,0.44944999999999996,2000,1,12,2,False,False,301.52000000000004,,14724829.8,,288.5,314.55
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042,532418081645000.0,1810434.0,0.44944999999999996,2000,1,13,3,False,False,305.02,,15003581.0,,301.7,308.5
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592,425587852020000.0,1810434.0,0.44944999999999996,2000,1,14,4,False,False,305.37,,13721504.0,,311.85,288.5
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,338798432540000.0,1810434.0,0.44944999999999996,2000,1,17,0,False,False,305.41999999999996,,13183928.6,20.968023935931072,316.3,301.7
2000-01-18,RELIANCE,EQ,308.75,309.0,318.95,305.55,318.25,314.2,312.14,10083321,314736518215000.0,1810434.0,0.44944999999999996,2000,1,18,1,False,False,310.56,,12691728.4,14.276718616140226,308.75,311.85
2000-01-19,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,368749027475000.0,1810434.0,0.44944999999999996,2000,1,19,2,False,False,314.14,,12566105.4,10.03549810533701,314.2,316.3
