date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,SBIN,EQ,225.6,236.0,243.65,234.25,243.65,243.65,240.83,2373228,57153383840000.0,679989.5,0.2738,2000,1,3,0,False,False,,,,,,
2000-01-04,SBIN,EQ,243.65,243.65,262.0,238.85,258.0,259.1,251.46,4495741,113050615659999.98,679989.5,0.2738,2000,1,4,1,False,False,,,,,243.65,
2000-01-05,SBIN,EQ,259.1,249.0,264.7,245.0,249.05,248.45,252.35,3434058,86660084115000.0,679989.5,0.2738,2000,1,5,2,False,False,,,,,259.1,
2000-01-06,SBIN,EQ,248.45,252.0,268.0,252.0,260.5,261.0,262.18,6658801,174581740585000.0,679989.5,0.2738,2000,1,6,3,False,False,,,,,248.45,243.65
2000-01-07,SBIN,EQ,261.0,261.5,279.9,255.0,279.0,273.3,269.02,7873985,211828694020000.0,679989.5,0.2738,2000,1,7,4,False,False,257.1,,4967162.6,,261.0,259.1
2000-01-10,SBIN,EQ,273.3,280.0,289.85,265.2,266.0,269.5,279.79,5519316,154424794075000.0,679989.5,0.2738,2000,1,10,0,False,False,262.27,,5596380.2,,273.3,248.45
2000-01-11,SBIN,EQ,269.5,266.8,267.0,247.95,247.95,247.95,254.66,2427606,61821906360000.0,679989.5,0.2738,2000,1,11,1,False,False,260.04,,5182753.2,,269.5,261.0
2000-01-12,SBIN,EQ,247.95,244.0,251.5,236.6,244.0,244.75,243.71,2805072,68361624250000.0,679989.5,0.2738,2000,1,12,2,False,False,259.3,,5056956.0,,247.95,273.3
2000-01-13,SBIN,EQ,244.75,246.0,255.6,243.1,243.15,244.5,250.04,3226776,80683488755000.0,679989.5,0.2738,2000,1,13,3,False,False,256.0,,4370551.0,,244.75,269.5
2000-01-14,SBIN,EQ,244.5,245.0,245.0,238.1,239.05,239.2,240.55,1506543,36240580640000.0,679989.5,0.2738,2000,1,14,4,False,False,249.18,,3097062.6,11.78385901703401,244.5,247.95
2000-01-17,SBIN,EQ,239.2,244.4,251.0,232.3,236.1,235.9,240.22,4385887,105358844450000.0,679989.5,0.2738,2000,1,17,0,False,False,242.45999999999998,,2870376.8,12.696829219227242,239.2,244.75
2000-01-18,SBIN,EQ,235.9,236.9,241.0,233.75,236.5,236.45,237.59,2706614,64307382370000.01,679989.5,0.2738,2000,1,18,1,False,False,240.16,,2926178.4,13.364588367107414,235.9,244.5
2000-01-19,SBIN,EQ,236.45,240.9,247.5,240.0,243.0,243.95,244.63,2511949,61450786104999.99,679989.5,0.2738,2000,1,19,2,False,False,240.0,,2867553.8,13.501378530439878,236.45,239.2
2000-01-20,SBIN,EQ,243.95,243.0,244.8,236.25,237.9,237.7,240.61,1158464,27873844245000.0,679989.5,0.2738,2000,1,20,3,False,False,238.63999999999996,,2453891.4,13.334483283743891,243.95,235.9
2000-01-21,SBIN,EQ,237.7,238.75,239.75,235.5,237.0,237.45,237.56,1178627,27999611745000.0,679989.5,0.2738,2000,1,21,4,False,False,238.29000000000002,,2388308.2,9.967782824903711,237.7,236.45
2000-01-24,SBIN,EQ,237.45,236.65,240.35,227.1,228.1,228.3,234.87,1855636,43583608940000.0,679989.5,0.2738,2000,1,24,0,False,False,236.76999999999998,,1882258.0,5.7626214135197715,237.45,243.95
2000-01-25,SBIN,EQ,228.3,226.0,227.9,222.6,225.5,224.85,225.12,2226513,50123346035000.0,679989.5,0.2738,2000,1,25,1,False,False,234.45,,1786237.8,6.616832491624928,228.3,237.7
2000-01-27,SBIN,EQ,224.85,229.0,235.5,228.0,230.8,230.15,232.11,2000745,46438997200000.0,679989.5,0.2738,2000,1,27,3,False,False,231.69,,1683997.0,6.398717319380071,224.85,237.45
2000-01-28,SBIN,EQ,230.15,232.7,248.6,232.7,248.6,248.5,245.28,4978231,122105489515000.02,679989.5,0.2738,2000,1,28,4,False,False,233.85,,2447950.4,7.087800552122485,230.15,228.3
2000-01-31,SBIN,EQ,248.5,246.0,256.75,242.5,242.95,244.7,251.19,4829071,121300488195000.0,679989.5,0.2738,2000,1,31,0,False,True,235.3,244.96750000000003,3178039.2,7.54145763982895,248.5,224.85
2000-02-01,SBIN,EQ,244.7,245.0,250.7,242.75,250.0,246.5,245.74,2196468,53975901220000.01,679989.5,0.2738,2000,2,1,1,True,False,238.94,245.11000000000004,3246205.6,8.124122174802158,244.7,230.15
2000-02-02,SBIN,EQ,246.5,257.0,258.7,246.0,246.9,247.5,252.31,2328315,58744983350000.0,679989.5,0.2738,2000,2,2,2,False,False,243.47000000000003,244.53000000000003,3266566.0,8.646476482102786,246.5,248.5
2000-02-03,SBIN,EQ,247.5,250.0,264.9,248.6,257.85,258.8,258.52,7332794,189567948650000.0,679989.5,0.2738,2000,2,3,3,False,False,249.2,245.04749999999999,4332975.8,10.643345599742432,247.5,244.7
2000-02-04,SBIN,EQ,258.8,260.0,264.75,254.5,256.5,255.9,259.64,3206295,83248877545000.0,679989.5,0.2738,2000,2,4,4,False,False,250.68,244.79250000000002,3978588.6,11.631973416216034,258.8,246.5
2000-02-07,SBIN,EQ,255.9,258.7,258.7,243.6,245.5,247.4,251.65,2058676,51806223725000.0,679989.5,0.2738,2000,2,7,0,False,False,251.22000000000003,243.4975,3424509.6,11.599851531616965,255.9,247.5
2000-02-08,SBIN,EQ,247.4,247.0,248.5,240.8,242.5,242.3,244.99,2398279,58755982690000.0,679989.5,0.2738,2000,2,8,1,False,False,250.38000000000002,242.1375,3464871.8,10.373732854345837,247.4,258.8
2000-02-09,SBIN,EQ,242.3,254.0,254.0,243.15,244.0,245.4,248.19,1411153,35023842070000.0,679989.5,0.2738,2000,2,9,2,False,False,249.96000000000004,242.01,3281439.4,7.705771646413317,242.3,255.9
2000-02-10,SBIN,EQ,245.4,242.2,250.95,242.2,248.6,248.8,247.66,1843760,45662113420000.0,679989.5,0.2738,2000,2,10,3,False,False,247.95999999999998,242.2125,2183632.6,5.0505885245627615,245.4,247.4
2000-02-11,SBIN,EQ,248.8,251.0,257.7,246.6,249.0,250.1,252.38,2983767,75304822375000.0,679989.5,0.2738,2000,2,11,4,False,False,246.8,242.4925,2139127.0,5.073066134006198,248.8,242.3
2000-02-14,SBIN,EQ,250.1,252.0,270.15,251.35,270.15,266.6,262.44,6388369,167657782805000.0,679989.5,0.2738,2000,2,14,0,False,False,250.64000000000001,243.8625,3005065.6,7.3508956370409155,250.1,245.4
2000-02-15,SBIN,EQ,266.6,271.9,272.0,247.0,250.0,253.9,259.73,4747733,123313132995000.0,679989.5,0.2738,2000,2,15,1,False,False,252.95999999999998,244.7625,3474956.4,7.226809654182004,266.6,248.8
2000-02-16,SBIN,EQ,253.9,257.0,257.0,247.5,248.4,250.0,253.14,2045899,51790671915000.0,679989.5,0.2738,2000,2,16,2,False,False,253.88000000000002,245.44,3601905.6,7.108805181682187,253.9,250.1
2000-02-17,SBIN,EQ,250.0,248.0,253.8,247.0,249.0,250.0,250.88,1740649,43669573560000.0,679989.5,0.2738,2000,2,17,3,False,False,254.11999999999998,245.7425,3581283.4,6.69513919861935,250.0,266.6
2000-02-18,SBIN,EQ,250.0,251.75,252.8,239.0,242.0,241.1,245.34,1509713,37038633150000.0,679989.5,0.2738,2000,2,18,4,False,False,252.32000000000002,245.9125,3286472.6,7.123544685680679,250.0,253.9
2000-02-21,SBIN,EQ,241.1,243.0,248.9,240.0,244.25,244.2,244.39,2012722,49189913630000.0,679989.5,0.2738,2000,2,21,0,False,False,247.83999999999997,246.25,2411343.2,7.3010197156896846,241.1,250.0
2000-02-22,SBIN,EQ,244.2,245.0,246.4,234.0,236.1,237.1,240.49,1651462,39715439240000.0,679989.5,0.2738,2000,2,22,1,False,False,244.47999999999996,246.69,1792089.0,8.001777580290838,244.2,250.0
