date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,SHREECEM,EQ,63.5,68.0,68.0,63.05,63.6,64.75,65.13,30530,198842050000.0,9431.0,0.7025,2000,1,3,0,False,False,,,,,,
2000-01-04,SHREECEM,EQ,64.75,65.6,66.0,59.6,59.6,59.85,60.7,23525,142791950000.0,9431.0,0.7025,2000,1,4,1,False,False,,,,,64.75,
2000-01-05,SHREECEM,EQ,59.85,59.1,61.0,59.0,60.0,60.0,60.03,23535,141292250000.0,9431.0,0.7025,2000,1,5,2,False,False,,,,,59.85,
2000-01-06,SHREECEM,EQ,60.0,58.1,62.0,58.1,60.65,60.6,60.52,8931,54049825000.0,9431.0,0.7025,2000,1,6,3,False,False,,,,,60.0,64.75
2000-01-07,SHREECEM,EQ,60.6,60.0,61.95,57.05,60.6,60.45,60.21,5115,30795800000.0,9431.0,0.7025,2000,1,7,4,False,False,61.129999999999995,,18327.2,,60.6,59.85
2000-01-10,SHREECEM,EQ,60.45,57.1,60.0,57.0,57.35,57.35,57.5,7001,40258465000.0,9431.0,0.7025,2000,1,10,0,False,False,59.65,,13621.4,,60.45,60.0
2000-01-11,SHREECEM,EQ,57.35,58.0,58.0,53.0,53.35,54.1,54.66,8923,48770045000.0,9431.0,0.7025,2000,1,11,1,False,False,58.5,,10701.0,,57.35,60.6
2000-01-12,SHREECEM,EQ,54.1,53.4,54.8,53.0,54.4,54.75,54.49,2050,11170290000.0,9431.0,0.7025,2000,1,12,2,False,False,57.45,,6404.0,,54.1,60.45
2000-01-13,SHREECEM,EQ,54.75,53.75,53.95,52.7,53.0,52.95,53.55,4250,22759250000.0,9431.0,0.7025,2000,1,13,3,False,False,55.92,,5467.8,,54.75,57.35
2000-01-14,SHREECEM,EQ,52.95,55.0,55.0,52.0,54.0,54.0,52.89,1480,7828000000.0,9431.0,0.7025,2000,1,14,4,False,False,54.629999999999995,,4740.8,3.848535074833309,52.95,54.1
2000-01-17,SHREECEM,EQ,54.0,56.0,56.0,54.0,55.5,55.5,55.13,7210,39750000000.0,9431.0,0.7025,2000,1,17,0,False,False,54.260000000000005,,4782.6,3.040691624541292,54.0,54.75
2000-01-18,SHREECEM,EQ,55.5,53.5,55.0,53.0,53.1,53.7,53.9,10663,57472000000.0,9431.0,0.7025,2000,1,18,1,False,False,54.17999999999999,,5130.6,3.011902315075234,55.5,52.95
2000-01-19,SHREECEM,EQ,53.7,54.0,56.4,53.3,55.3,55.4,55.12,8050,44371500000.0,9431.0,0.7025,2000,1,19,2,False,False,54.31,,6330.6,2.7287766896948944,53.7,54.0
2000-01-20,SHREECEM,EQ,55.4,55.0,59.75,55.0,59.75,59.2,58.69,39121,229587805000.0,9431.0,0.7025,2000,1,20,3,False,False,55.56,,13304.8,2.4847087913431185,55.4,55.5
2000-01-21,SHREECEM,EQ,59.2,59.0,59.4,56.95,57.7,57.45,58.35,11050,64477000000.0,9431.0,0.7025,2000,1,21,4,False,False,56.25,,15218.8,1.9833753496950053,59.2,53.7
2000-01-24,SHREECEM,EQ,57.45,55.6,57.0,53.55,54.0,53.95,55.0,9355,51456500000.0,9431.0,0.7025,2000,1,24,0,False,False,55.94,,15647.8,1.9096247449870039,57.45,55.4
2000-01-25,SHREECEM,EQ,53.95,52.05,53.0,50.05,51.1,51.1,51.31,17233,88419630000.0,9431.0,0.7025,2000,1,25,1,False,False,55.42,,16961.8,2.2832725052724987,53.95,59.2
2000-01-27,SHREECEM,EQ,51.1,51.5,55.0,50.0,50.0,50.45,51.05,18850,96232000000.0,9431.0,0.7025,2000,1,27,3,False,False,54.43000000000001,,19121.8,2.6664791600744118,51.1,57.45
2000-01-28,SHREECEM,EQ,50.45,54.0,54.0,47.55,48.0,48.0,48.48,11060,53623250000.0,9431.0,0.7025,2000,1,28,4,False,False,52.19,,13509.6,3.33502040640101,50.45,53.95
2000-01-31,SHREECEM,EQ,48.0,45.0,45.8,44.2,45.0,45.3,44.78,7390,33093000000.0,9431.0,0.7025,2000,1,31,0,False,True,49.760000000000005,55.442499999999995,12777.6,4.295310750626144,48.0,51.1
2000-02-01,SHREECEM,EQ,45.3,44.0,48.75,44.0,46.25,47.1,47.78,8600,41094460000.0,9431.0,0.7025,2000,2,1,1,True,False,48.39,54.56,12626.6,4.566000559692391,45.3,50.45
2000-02-02,SHREECEM,EQ,47.1,50.0,50.9,48.3,50.9,50.9,50.36,23950,120611750000.0,9431.0,0.7025,2000,2,2,2,False,False,48.35,54.1125,13970.0,4.547224428153961,47.1,48.0
2000-02-03,SHREECEM,EQ,50.9,52.5,53.0,49.25,53.0,51.9,51.61,18800,97017750000.0,9431.0,0.7025,2000,2,3,3,False,False,48.64,53.7075,13960.0,4.378168693770403,50.9,45.3
2000-02-04,SHREECEM,EQ,51.9,53.0,55.0,52.0,54.0,54.6,53.76,11400,61289750000.0,9431.0,0.7025,2000,2,4,4,False,False,49.959999999999994,53.407500000000006,14028.0,3.6672916134087186,51.9,47.1
2000-02-07,SHREECEM,EQ,54.6,53.0,59.0,53.0,58.0,58.0,58.01,43775,253919875000.0,9431.0,0.7025,2000,2,7,0,False,False,52.5,53.285000000000004,21305.0,3.776035545972069,54.6,50.9
2000-02-08,SHREECEM,EQ,58.0,60.4,62.0,58.0,60.0,60.45,59.92,36006,215762685000.0,9431.0,0.7025,2000,2,8,1,False,False,55.17,53.44,26786.2,4.7493976226230945,58.0,51.9
2000-02-09,SHREECEM,EQ,60.45,65.0,65.0,58.1,60.5,60.1,60.68,26081,158264900000.0,9431.0,0.7025,2000,2,9,2,False,False,57.010000000000005,53.739999999999995,27212.4,5.412649792641111,60.45,54.6
2000-02-10,SHREECEM,EQ,60.1,59.0,59.0,55.35,56.75,56.2,56.57,9655,54622150000.0,9431.0,0.7025,2000,2,10,3,False,False,57.870000000000005,53.8125,25383.4,5.454684531055247,60.1,58.0
2000-02-11,SHREECEM,EQ,56.2,56.0,56.0,53.0,56.0,55.7,55.23,9398,51905900000.0,9431.0,0.7025,2000,2,11,4,False,False,58.089999999999996,53.95,24983.0,5.1663037506949285,56.2,60.45
