date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,TELCO,EQ,201.6,207.4,217.25,207.4,217.0,216.75,214.28,676126,14487752460000.0,1636751.5,0.36135,2000,1,3,0,False,False,,,,,,
2000-01-04,TELCO,EQ,216.75,217.0,219.0,206.0,211.9,208.2,209.5,679215,14229618694999.998,1636751.5,0.36135,2000,1,4,1,False,False,,,,,216.75,
2000-01-05,TELCO,EQ,208.2,194.0,217.8,194.0,213.1,213.25,210.33,1120951,23576835995000.0,1636751.5,0.36135,2000,1,5,2,False,False,,,,,208.2,
2000-01-06,TELCO,EQ,213.25,215.0,229.9,215.0,222.0,222.1,225.29,1968998,44359324810000.0,1636751.5,0.36135,2000,1,6,3,False,False,,,,,213.25,216.75
2000-01-07,TELCO,EQ,222.1,224.0,239.9,223.1,239.9,239.9,236.32,2199431,51976361765000.0,1636751.5,0.36135,2000,1,7,4,False,False,220.04000000000002,,1328944.2,,222.1,208.2
2000-01-10,TELCO,EQ,239.9,259.0,259.1,248.0,259.1,258.85,257.2,1720542,44253025760000.0,1636751.5,0.36135,2000,1,10,0,False,False,228.45999999999998,,1537827.4,,239.9,213.25
2000-01-11,TELCO,EQ,258.85,260.0,260.0,238.15,238.15,238.15,246.63,1207916,29790818265000.0,1636751.5,0.36135,2000,1,11,1,False,False,234.45,,1643567.6,,258.85,222.1
2000-01-12,TELCO,EQ,238.15,240.0,246.0,229.0,242.45,240.25,237.13,938579,22256459195000.0,1636751.5,0.36135,2000,1,12,2,False,False,239.85,,1607093.2,,238.15,239.9
2000-01-13,TELCO,EQ,240.25,243.0,245.0,231.6,233.0,235.45,237.31,565754,13426092590000.0,1636751.5,0.36135,2000,1,13,3,False,False,242.52000000000004,,1326444.4,,240.25,258.85
2000-01-14,TELCO,EQ,235.45,234.95,243.0,233.0,239.8,239.05,239.04,1024725,24495040200000.0,1636751.5,0.36135,2000,1,14,4,False,False,242.35,,1091503.2,15.60953145428211,235.45,238.15
