date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,TISCO,EQ,142.35,148.0,153.2,146.1,152.5,152.45,150.92,2003185,30231643945000.0,1250946.5,0.253,2000,1,3,0,False,False,,,,,,
2000-01-04,TISCO,EQ,152.45,150.1,153.0,143.05,151.95,150.8,151.03,1555136,23487854555000.0,1250946.5,0.253,2000,1,4,1,False,False,,,,,152.45,
2000-01-05,TISCO,EQ,150.8,144.6,162.9,144.6,158.0,156.55,156.85,3840284,60233642704999.99,1250946.5,0.253,2000,1,5,2,False,False,,,,,150.8,
2000-01-06,TISCO,EQ,156.55,158.95,169.1,158.95,169.0,168.25,167.61,2560449,42915295930000.0,1250946.5,0.253,2000,1,6,3,False,False,,,,,156.55,152.45
2000-01-07,TISCO,EQ,168.25,173.4,179.0,166.3,170.55,171.95,173.89,3641691,63324587285000.0,1250946.5,0.253,2000,1,7,4,False,False,160.0,,2720149.0,,168.25,150.8
2000-01-10,TISCO,EQ,171.95,173.95,184.9,173.95,179.0,182.25,180.32,4642054,83706263495000.0,1250946.5,0.253,2000,1,10,0,False,False,165.95999999999998,,3247922.8,,171.95,156.55
2000-01-11,TISCO,EQ,182.25,179.0,180.0,167.7,167.7,167.7,170.99,1705968,29170586570000.0,1250946.5,0.253,2000,1,11,1,False,False,169.34,,3278089.2,,182.25,168.25
2000-01-12,TISCO,EQ,167.7,165.0,172.0,159.15,166.5,165.3,165.39,2337738,38664964255000.0,1250946.5,0.253,2000,1,12,2,False,False,171.09,,2977580.0,,167.7,171.95
2000-01-13,TISCO,EQ,165.3,167.9,170.0,156.05,158.7,159.2,163.0,1584803,25831999455000.0,1250946.5,0.253,2000,1,13,3,False,False,169.28000000000003,,2782450.8,,165.3,182.25
2000-01-14,TISCO,EQ,159.2,161.0,161.9,156.0,159.25,158.7,158.87,1541731,24494183355000.0,1250946.5,0.253,2000,1,14,4,False,False,166.63,,2362458.8,9.656835518026705,159.2,167.7
2000-01-17,TISCO,EQ,158.7,164.95,171.4,163.1,165.5,166.8,168.19,3326270,55944540045000.01,1250946.5,0.253,2000,1,17,0,False,False,163.54000000000002,,2099302.0,8.899406971503456,158.7,165.3
2000-01-18,TISCO,EQ,166.8,166.9,176.0,163.25,175.0,172.8,169.43,3516827,59585991685000.0,1250946.5,0.253,2000,1,18,1,False,False,164.56,,2461473.8,7.707103505497013,166.8,159.2
2000-01-19,TISCO,EQ,172.8,177.0,178.0,171.0,171.25,172.85,174.04,2617065,45547525430000.0,1250946.5,0.253,2000,1,19,2,False,False,166.07,,2517339.2,6.949628287421794,172.8,158.7
2000-01-20,TISCO,EQ,172.85,171.0,179.0,160.7,161.0,163.1,171.22,8257650,141388116435000.0,1250946.5,0.253,2000,1,20,3,False,False,166.85,,3851908.6,7.164303874068985,172.85,166.8
2000-01-21,TISCO,EQ,163.1,162.7,164.75,159.1,162.0,162.4,162.49,2794941,45415310200000.0,1250946.5,0.253,2000,1,21,4,False,False,167.59,,4102550.6,7.22514129042931,163.1,172.8
2000-01-24,TISCO,EQ,162.4,163.9,163.9,150.0,150.9,151.15,157.14,2446509,38445557595000.0,1250946.5,0.253,2000,1,24,0,False,False,164.46,,3926598.4,6.655031513407289,162.4,172.85
2000-01-25,TISCO,EQ,151.15,150.0,154.0,147.0,149.0,148.45,150.45,3030257,45591406095000.0,1250946.5,0.253,2000,1,25,1,False,False,159.59,,3829284.4,8.094313847798727,151.15,163.1
