date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2004-08-26,TCS,EQ,987.95,992.0,997.0,975.3,976.85,979.0,985.65,5055400,498286476730000.0,1294899,0.2561,2004,8,26,3,False,False,,,,,,
2004-08-27,TCS,EQ,979.0,982.4,982.4,958.55,961.2,962.65,969.94,3830750,371558603080000.0,976527,0.2549,2004,8,27,4,False,False,,,,,979.0,
2004-08-30,TCS,EQ,962.65,969.9,990.0,965.0,986.4,986.75,982.65,3058151,300510633990000.0,701664,0.2294,2004,8,30,0,False,False,,,,,962.65,
2004-08-31,TCS,EQ,986.75,986.5,990.0,976.0,987.8,988.1,982.18,2649332,260213265065000.0,695234,0.2623999999999999,2004,8,31,1,False,True,,,,,986.75,979.0
2004-09-01,TCS,EQ,988.1,990.0,995.0,983.6,986.0,987.9,989.68,2491943,246623557695000.0,790586,0.3173,2004,9,1,2,True,False,980.8799999999999,,3417115.2,,988.1,962.65
2004-09-02,TCS,EQ,987.9,989.9,1004.6,986.0,994.0,993.65,996.96,2669544,266142619640000.0,501792,0.188,2004,9,2,3,False,False,983.8100000000001,,2939944.0,,987.9,986.75
2004-09-03,TCS,EQ,993.65,1006.0,1100.0,990.35,998.7,997.85,996.91,1233732,122991693990000.02,235508,0.1909,2004,9,3,4,False,False,990.85,,2420540.4,,993.65,988.1
2004-09-06,TCS,EQ,997.85,1039.9,1039.9,992.9,996.8,994.85,998.87,1129834,112855395175000.0,430184,0.3807,2004,9,6,0,False,False,992.47,,2034877.0,,997.85,987.9
2004-09-07,TCS,EQ,994.85,1035.0,1035.0,995.0,995.0,995.6,997.34,721529,71961091360000.0,198212,0.2747,2004,9,7,1,False,False,993.97,,1649316.4,,994.85,993.65
2004-09-08,TCS,EQ,995.6,996.0,1000.8,991.1,992.25,993.7,995.29,824248,82036168250000.0,220195,0.2671,2004,9,8,2,False,False,995.1299999999999,,1315777.4,10.495090121893526,995.6,997.85
2004-09-09,TCS,EQ,993.7,997.0,997.9,978.45,979.65,979.95,985.16,993398,97865742605000.0,364189,0.3666,2004,9,9,3,False,False,992.3900000000001,,980548.2,10.408463436603476,993.7,994.85
