date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2006-08-29,TECHM,EQ,554.25,555.0,563.9,535.55,536.1,539.3,547.59,3929113,215153038915000.0,727534,0.1852,2006,8,29,1,False,False,,,,,,
2006-08-30,TECHM,EQ,539.3,537.0,542.9,521.5,529.0,528.1,529.55,2034983,107762957620000.0,345064,0.1696,2006,8,30,2,False,False,,,,,539.3,
2006-08-31,TECHM,EQ,528.1,525.0,544.0,515.0,539.35,538.45,532.89,1670990,89044643830000.0,286440,0.1714,2006,8,31,3,False,True,,,,,528.1,
2006-09-01,TECHM,EQ,538.45,539.0,549.0,535.1,541.35,541.85,542.46,1176195,63803856150000.0,213842,0.1818,2006,9,1,4,True,False,,,,,538.45,539.3
2006-09-04,TECHM,EQ,541.85,542.0,549.0,452.8,542.0,543.95,543.8,749788,40773713470000.0,213912,0.2853,2006,9,4,0,False,False,538.33,,1912213.8,,541.85,528.1
2006-09-05,TECHM,EQ,543.95,544.0,556.0,538.5,551.5,552.7,548.92,956133,52483829145000.0,258744,0.2706,2006,9,5,1,False,False,541.01,,1317617.8,,543.95,538.45
2006-09-06,TECHM,EQ,552.7,554.7,562.5,538.0,540.0,541.25,551.38,957611,52801098525000.0,202832,0.2118,2006,9,6,2,False,False,543.64,,1102143.4,,552.7,541.85
2006-09-07,TECHM,EQ,541.25,545.0,545.0,530.0,536.25,537.3,536.79,351161,18849974530000.0,140830,0.401,2006,9,7,3,False,False,543.4100000000001,,838177.6,,541.25,543.95
2006-09-08,TECHM,EQ,537.3,538.8,544.9,531.55,531.6,534.8,538.89,269659,14531639525000.0,59668,0.2213,2006,9,8,4,False,False,542.0,,656870.4,,537.3,552.7
2006-09-11,TECHM,EQ,534.8,539.95,545.0,532.25,533.1,535.95,538.13,420466,22626504155000.0,182316,0.4336,2006,9,11,0,False,False,540.4,,591006.0,6.438428465946585,534.8,541.25
2006-09-12,TECHM,EQ,535.95,535.95,546.85,534.0,537.85,537.85,539.51,514196,27741546120000.0,289134,0.5623,2006,9,12,1,False,False,537.4300000000001,,502618.6,6.4563577623576425,535.95,537.3
2006-09-13,TECHM,EQ,537.85,541.0,549.0,541.0,545.1,544.7,546.14,401947,21952067310000.0,247945,0.6169,2006,9,13,2,False,False,538.12,,391485.8,5.3122604521155425,537.85,534.8
2006-09-14,TECHM,EQ,544.7,545.2,557.5,545.1,549.0,549.85,553.26,534610,29577801135000.004,303082,0.5669,2006,9,14,3,False,False,540.63,,428175.6,5.9211579197915665,544.7,535.95
2006-09-15,TECHM,EQ,549.85,550.15,554.0,539.0,541.0,540.2,544.58,209783,11424434435000.0,97462,0.4646,2006,9,15,4,False,False,541.71,,416200.4,5.94934403480281,549.85,537.85
2006-09-18,TECHM,EQ,540.2,544.0,562.0,544.0,545.25,546.5,550.53,224376,12352655115000.0,96526,0.4302,2006,9,18,0,False,False,543.82,,376982.4,6.10181211699527,540.2,544.7
2006-09-19,TECHM,EQ,546.5,548.05,623.85,546.5,581.0,584.25,594.73,4793064,285058454745000.0,583289,0.1217,2006,9,19,1,False,False,553.1,,1232756.0,14.526528414517188,546.5,549.85
2006-09-20,TECHM,EQ,584.25,579.8,613.9,573.25,605.95,605.05,601.29,2264328,136150926865000.02,202726,0.0895,2006,9,20,2,False,False,565.17,,1605232.2,23.688399059455115,584.25,540.2
2006-09-21,TECHM,EQ,605.05,577.0,627.0,577.0,609.9,608.95,616.48,1776100,109492234670000.0,233080,0.1311999999999999,2006,9,21,3,False,False,576.99,,1853530.2,29.087939463327622,605.05,546.5
2006-09-22,TECHM,EQ,608.95,625.0,625.0,593.25,604.45,601.15,603.12,726501,43816599415000.0,129352,0.178,2006,9,22,4,False,False,589.1800000000001,,1956873.8,30.534019733914768,608.95,584.25
