date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,TITAN,EQ,144.95,146.0,156.45,146.0,155.0,155.7,154.36,23000,355037000000.0,201211.5,0.3524,2000,1,3,0,False,False,,,,,,
2000-01-04,TITAN,EQ,155.7,152.0,152.0,144.0,148.05,147.4,146.72,26300,385870000000.0,201211.5,0.3524,2000,1,4,1,False,False,,,,,155.7,
2000-01-05,TITAN,EQ,147.4,144.0,148.8,136.0,139.95,138.4,142.95,20600,294485000000.0,201211.5,0.3524,2000,1,5,2,False,False,,,,,147.4,
2000-01-06,TITAN,EQ,138.4,142.0,149.5,141.0,149.5,149.5,147.87,31600,467275000000.0,201211.5,0.3524,2000,1,6,3,False,False,,,,,138.4,155.7
2000-01-07,TITAN,EQ,149.5,149.5,153.0,145.0,147.75,146.35,148.63,36600,543996500000.0,201211.5,0.3524,2000,1,7,4,False,False,147.47,,27620.0,,149.5,147.4
2000-01-10,TITAN,EQ,146.35,150.0,150.0,141.05,144.65,144.9,145.28,33100,480879000000.0,201211.5,0.3524,2000,1,10,0,False,False,145.31,,29640.0,,146.35,138.4
2000-01-11,TITAN,EQ,144.9,138.0,146.7,137.1,142.0,141.0,142.34,75600,1076059500000.0,201211.5,0.3524,2000,1,11,1,False,False,144.03,,39500.0,,144.9,149.5
2000-01-12,TITAN,EQ,141.0,151.9,152.3,145.5,148.0,147.9,151.23,19711,298090655000.0,201211.5,0.3524,2000,1,12,2,False,False,145.93,,39322.2,,141.0,146.35
2000-01-13,TITAN,EQ,147.9,151.5,157.0,146.3,148.6,148.85,154.34,62777,968924885000.0,201211.5,0.3524,2000,1,13,3,False,False,145.8,,45557.6,,147.9,144.9
2000-01-14,TITAN,EQ,148.85,150.0,150.0,143.05,144.0,144.5,144.56,14332,207190540000.0,201211.5,0.3524,2000,1,14,4,False,False,145.43,,41104.0,4.7650346856613295,148.85,141.0
2000-01-17,TITAN,EQ,144.5,143.0,150.5,141.8,143.9,143.75,144.02,7947,114450205000.0,201211.5,0.3524,2000,1,17,0,False,False,145.2,,36073.4,3.524473956020484,144.5,147.9
2000-01-18,TITAN,EQ,143.75,142.05,144.8,135.75,140.0,139.2,139.23,35683,496803645000.0,201211.5,0.3524,2000,1,18,1,False,False,144.84,,28090.0,3.903492026378432,143.75,148.85
2000-01-19,TITAN,EQ,139.2,142.6,145.0,140.0,142.65,142.15,142.34,22876,325617005000.0,201211.5,0.3524,2000,1,19,2,False,False,143.69,,28723.0,3.4079808293670544,139.2,144.5
2000-01-20,TITAN,EQ,142.15,142.5,142.5,137.9,141.0,141.1,139.73,19869,277629450000.0,201211.5,0.3524,2000,1,20,3,False,False,142.14000000000001,,20141.4,3.1489151571083407,142.15,143.75
2000-01-21,TITAN,EQ,141.1,139.0,140.95,137.15,138.6,138.85,138.9,13270,184319480000.0,201211.5,0.3524,2000,1,21,4,False,False,141.01,,19929.0,3.4020582005603517,141.1,139.2
2000-01-24,TITAN,EQ,138.85,139.1,143.0,139.0,140.0,140.05,140.91,10451,147266145000.0,201211.5,0.3524,2000,1,24,0,False,False,140.27,,20429.8,3.480744652130236,138.85,142.15
2000-01-25,TITAN,EQ,140.05,140.0,140.4,136.7,137.3,137.7,138.55,8983,124455385000.00002,201211.5,0.3524,2000,1,25,1,False,False,139.97,,15089.8,3.804854355513041,140.05,141.1
2000-01-27,TITAN,EQ,137.7,140.0,144.9,136.5,138.8,138.7,138.6,4109,56952240000.0,201211.5,0.3524,2000,1,27,3,False,False,139.28,,11336.4,3.4215047047233904,137.7,138.85
