date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2004-08-27,ULTRACEMCO,EQ,270.7,272.0,272.55,260.65,261.35,262.25,264.4,915106,24195293220000.0,222763,0.2434,2004,8,27,4,False,False,,,,,,
2004-08-30,ULTRACEMCO,EQ,262.25,263.7,269.0,262.05,267.0,266.1,265.38,387417,10281084615000.0,84031,0.2169,2004,8,30,0,False,False,,,,,262.25,
2004-08-31,ULTRACEMCO,EQ,266.1,266.8,267.8,264.3,266.45,266.2,266.0,261123,6945977815000.001,85009,0.3256,2004,8,31,1,False,True,,,,,266.1,
2004-09-01,ULTRACEMCO,EQ,266.2,267.0,273.45,265.0,267.0,267.2,269.43,311985,8405950375000.0,67745,0.2171,2004,9,1,2,True,False,,,,,266.2,262.25
2004-09-02,ULTRACEMCO,EQ,267.2,267.85,269.5,260.0,264.0,262.2,264.61,205537,5438734245000.0,75679,0.3682,2004,9,2,3,False,False,264.79,,416233.6,,267.2,266.1
2004-09-03,ULTRACEMCO,EQ,262.2,262.2,264.9,257.5,262.65,262.65,261.0,303156,7912255820000.0,165614,0.5463,2004,9,3,4,False,False,264.87,,293843.6,,262.2,266.2
2004-09-06,ULTRACEMCO,EQ,262.65,263.5,267.85,263.0,264.75,265.3,265.9,74691,1986045295000.0,29535,0.3954,2004,9,6,0,False,False,264.71000000000004,,231298.4,,262.65,267.2
2004-09-07,ULTRACEMCO,EQ,265.3,264.0,265.8,263.55,265.0,264.85,264.72,128275,3395633070000.0005,95223,0.7423000000000001,2004,9,7,1,False,False,264.44,,204728.8,,265.3,262.2
2004-09-08,ULTRACEMCO,EQ,264.85,266.0,266.0,262.6,263.5,263.45,263.95,95094,2510026795000.0,51956,0.5464,2004,9,8,2,False,False,263.69,,161350.6,,264.85,262.65
2004-09-09,ULTRACEMCO,EQ,263.45,264.5,265.0,254.8,256.5,256.0,258.58,229786,5941920480000.0,146745,0.6386000000000001,2004,9,9,3,False,False,262.45,,166200.4,3.2125794413005053,263.45,265.3
