date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2004-01-23,UNIPHOS,EQ,10.0,100.0,560.0,100.0,555.1,553.8,483.69,73629,3561361450000.0,52799.0,0.7171,2004,1,23,4,False,False,,,,,,
2004-01-27,UNIPHOS,EQ,553.8,570.0,570.0,525.0,530.1,540.35,540.77,26737,1445850850000.0,17314.0,0.6476000000000001,2004,1,27,1,False,False,,,,,553.8,
2004-01-28,UNIPHOS,EQ,540.35,530.0,565.0,511.0,542.0,538.85,542.24,32155,1743569020000.0,23285.0,0.7241,2004,1,28,2,False,False,,,,,540.35,
2004-01-29,UNIPHOS,EQ,538.85,530.0,543.5,504.0,517.0,515.1,529.23,19074,1009447220000.0,12935.0,0.6781,2004,1,29,3,False,False,,,,,538.85,553.8
2004-01-30,UNIPHOS,EQ,515.1,519.0,519.0,471.4,485.0,482.95,485.85,23807,1156659385000.0,12750.0,0.5356000000000001,2004,1,30,4,False,False,526.21,,35080.4,,515.1,540.35
2004-02-03,UNIPHOS,EQ,482.95,472.0,475.0,450.0,465.0,461.45,466.1,25068,1168431745000.0,17793.0,0.7098000000000001,2004,2,3,1,False,False,507.73999999999995,,25368.2,,482.95,538.85
2004-02-04,UNIPHOS,EQ,461.45,442.0,479.0,442.0,475.0,475.15,470.81,21392,1007167445000.0,18545.0,0.8669,2004,2,4,2,False,False,494.7,,24299.2,,461.45,515.1
2004-02-05,UNIPHOS,EQ,475.15,475.0,489.0,470.5,475.05,480.15,477.59,19618,936930590000.0,16395.0,0.8357,2004,2,5,3,False,False,482.96000000000004,,21791.8,,475.15,482.95
2004-02-06,UNIPHOS,EQ,480.15,461.1,486.0,461.0,485.9,480.75,477.32,11997,572643405000.0,10892.0,0.9079,2004,2,6,4,False,False,476.09,,20376.4,,480.15,461.45
2004-02-09,UNIPHOS,EQ,480.75,475.0,483.0,462.05,474.8,471.95,471.87,19547,922368255000.0,14957.0,0.7652,2004,2,9,0,False,False,473.89,,19524.4,33.67423182329319,480.75,475.15
2004-02-10,UNIPHOS,EQ,471.95,480.0,480.0,459.0,475.15,477.8,473.86,20031,949198120000.0,16818.0,0.8395999999999999,2004,2,10,1,False,False,477.16,,18517.0,28.350945506475,471.95,480.15
2004-02-11,UNIPHOS,EQ,477.8,479.0,483.95,475.8,481.5,479.75,479.86,8149,391037335000.0,6622.0,0.8126000000000001,2004,2,11,2,False,False,478.0799999999999,,15868.4,22.93379117760038,477.8,480.75
2004-02-12,UNIPHOS,EQ,479.75,480.0,489.0,475.55,489.0,486.35,482.42,10600,511370200000.0,10078.0,0.9508,2004,2,12,3,False,False,479.32,,14064.8,13.767732000748968,479.75,471.95
2004-02-13,UNIPHOS,EQ,486.35,493.0,495.95,480.0,495.0,492.8,490.14,14134,692757575000.0,13028.0,0.9217,2004,2,13,4,False,False,481.73,,14492.2,8.425483830485954,486.35,477.8
2004-02-16,UNIPHOS,EQ,492.8,465.0,498.0,465.0,495.0,494.35,491.4,9670,475185065000.00006,8443.0,0.8731,2004,2,16,0,False,False,486.21000000000004,,12516.8,9.706670100732117,492.8,479.75
2004-02-17,UNIPHOS,EQ,494.35,491.0,500.0,490.0,495.3,497.65,495.64,38983,1932144315000.0,37568.0,0.9637,2004,2,17,1,False,False,490.18,,16307.2,8.696940713709594,494.35,486.35
2004-02-18,UNIPHOS,EQ,497.65,495.0,504.0,492.0,501.5,501.75,499.92,8918,445832845000.0,7457.0,0.8362,2004,2,18,2,False,False,494.58000000000004,,16461.0,9.799495451864473,497.65,492.8
2004-02-19,UNIPHOS,EQ,501.75,500.0,500.0,475.0,486.0,481.55,486.65,24195,1177461005000.0,20914.0,0.8644,2004,2,19,3,False,False,493.62000000000006,,19180.0,9.710996058306572,501.75,494.35
