date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-03,WIPRO,EQ,2522.4,2724.0,2724.2,2724.0,2724.2,2724.2,2724.17,1599,435594205000.0,643211.0,0.483,2000,1,3,0,False,False,,,,,,
2000-01-04,WIPRO,EQ,2724.2,2942.15,2942.15,2942.15,2942.15,2942.15,2942.15,4392,1292192280000.0,643211.0,0.483,2000,1,4,1,False,False,,,,,2724.2,
2000-01-05,WIPRO,EQ,2942.15,2942.15,3177.55,2715.0,3000.0,2990.1,3063.86,132297,40533895620000.0,643211.0,0.483,2000,1,5,2,False,False,,,,,2942.15,
2000-01-06,WIPRO,EQ,2990.1,3144.7,3183.0,2790.0,2915.0,2932.25,2962.41,72840,21578221245000.0,643211.0,0.483,2000,1,6,3,False,False,,,,,2990.1,2724.2
2000-01-07,WIPRO,EQ,2932.25,2751.0,2751.0,2697.7,2697.7,2697.7,2697.95,10110,2727630390000.0,643211.0,0.483,2000,1,7,4,False,False,2857.2799999999997,,44247.6,,2932.25,2942.15
2000-01-10,WIPRO,EQ,2697.7,2697.7,2913.5,2612.0,2665.0,2701.35,2740.88,40382,11068241285000.0,643211.0,0.483,2000,1,10,0,False,False,2852.71,,52004.2,,2697.7,2990.1
2000-01-11,WIPRO,EQ,2701.35,2734.0,2789.0,2485.25,2485.25,2485.45,2543.38,46178,11744835900000.0,643211.0,0.483,2000,1,11,1,False,False,2761.37,,60361.4,,2701.35,2932.25
2000-01-12,WIPRO,EQ,2485.45,2590.0,2608.0,2485.0,2570.0,2562.9,2543.75,20037,5096904595000.0,643211.0,0.483,2000,1,12,2,False,False,2675.9300000000003,,37909.4,,2485.45,2697.7
2000-01-13,WIPRO,EQ,2562.9,2574.0,2620.0,2460.0,2484.9,2480.25,2539.63,19080,4845620595000.0,643211.0,0.483,2000,1,13,3,False,False,2585.53,,27157.4,,2562.9,2701.35
2000-01-14,WIPRO,EQ,2480.25,2590.0,2590.0,2405.0,2475.15,2497.85,2470.43,20412,5042646415000.0,643211.0,0.483,2000,1,14,4,False,False,2545.56,,29217.8,197.5657642969103,2480.25,2485.45
2000-01-17,WIPRO,EQ,2497.85,2580.0,2697.7,2550.0,2697.7,2697.7,2671.72,27984,7476548175000.0,643211.0,0.483,2000,1,17,0,False,False,2544.83,,26738.2,197.4039192451189,2497.85,2562.9
2000-01-18,WIPRO,EQ,2697.7,2740.0,2850.0,2600.0,2690.0,2677.15,2688.05,32443,8720828000000.0,643211.0,0.483,2000,1,18,1,False,False,2583.17,,23991.2,177.92815841107236,2697.7,2480.25
2000-01-19,WIPRO,EQ,2677.15,2725.0,2848.0,2725.0,2780.0,2784.5,2801.9,33586,9410450690000.0,643211.0,0.483,2000,1,19,2,False,False,2627.4900000000002,,26701.0,146.1652010568868,2677.15,2497.85
2000-01-20,WIPRO,EQ,2784.5,2808.0,2834.95,2775.0,2785.0,2796.4,2801.6,21511,6026513375000.0,643211.0,0.483,2000,1,20,3,False,False,2690.7200000000003,,27187.2,121.41086179214471,2784.5,2697.7
2000-01-21,WIPRO,EQ,2796.4,2825.0,3020.15,2750.0,3020.15,2989.7,2931.46,145195,42563347655000.0,643211.0,0.483,2000,1,21,4,False,False,2789.09,,52143.8,164.7202261917667,2796.4,2677.15
2000-01-24,WIPRO,EQ,2989.7,3151.0,3228.9,3151.0,3228.9,3228.9,3228.71,20562,6638874680000.0,643211.0,0.483,2000,1,24,0,False,False,2895.33,,50659.4,242.80139483399478,2989.7,2784.5
2000-01-25,WIPRO,EQ,3228.9,3487.25,3487.25,3487.2,3487.25,3487.25,3487.24,34893,12168038585000.0,643211.0,0.483,2000,1,25,1,False,False,3057.35,,51149.4,327.2292611202936,3228.9,2796.4
