date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,turnover,deliverable_volume,percentdeliverble,year,month,day,weekday,is_month_start,is_month_end,rolling_5_close,rolling_20_close,rolling_5_volume,rolling_std_10,lag_1_close,lag_3_close
2000-01-10,ZEETELE,EQ,1026.25,1026.25,1026.25,944.3,962.0,966.7,980.49,3942813,386588483605000.0,893532.0,0.4635,2000,1,10,0,False,False,,,,,,
2000-04-03,ZEETELE,EQ,1033.2,1050.0,1068.0,950.55,950.55,950.55,996.1,3230210,321761062900000.0,893532.0,0.4635,2000,4,3,0,False,False,,,,,966.7,
2000-04-04,ZEETELE,EQ,950.55,950.55,950.55,874.55,874.55,874.55,874.57,97145,8495995475000.0,893532.0,0.4635,2000,4,4,1,False,False,,,,,950.55,
2000-04-05,ZEETELE,EQ,874.55,804.6,843.7,804.6,804.6,804.6,812.52,1291993,104977393020000.0,893532.0,0.4635,2000,4,5,2,False,False,,,,,874.55,966.7
2000-04-06,ZEETELE,EQ,804.6,804.6,869.0,740.25,852.0,839.9,794.8,3634933,288906130810000.0,893532.0,0.4635,2000,4,6,3,False,False,887.26,,2439418.8,,804.6,950.55
2000-04-07,ZEETELE,EQ,839.9,907.1,907.1,907.1,907.1,907.1,907.1,113636,10307921560000.0,893532.0,0.4635,2000,4,7,4,False,False,875.3399999999999,,1673583.4,,839.9,874.55
2000-04-17,ZEETELE,EQ,1004.75,924.4,924.4,924.4,924.4,924.4,924.4,19174,1772444560000.0002,893532.0,0.4635,2000,4,17,0,False,False,870.11,,1031376.2,,907.1,804.6
2000-04-18,ZEETELE,EQ,924.4,924.4,974.0,850.45,850.45,850.45,892.07,1938922,172964513205000.0,893532.0,0.4635,2000,4,18,1,False,False,865.29,,1399731.6,,924.4,839.9
2000-04-19,ZEETELE,EQ,850.45,900.0,913.0,782.45,782.45,782.45,813.35,2050885,166808115185000.0,893532.0,0.4635,2000,4,19,2,False,False,860.86,,1551510.0,,850.45,907.1
2000-04-20,ZEETELE,EQ,782.45,720.0,739.0,719.85,719.85,720.5,720.31,558404,40222160130000.0,893532.0,0.4635,2000,4,20,3,False,False,836.9800000000001,,936204.2,78.28391774673634,782.45,924.4
2000-04-24,ZEETELE,EQ,720.5,700.0,733.9,662.9,662.9,662.9,680.76,3392115,230922774050000.0,893532.0,0.4635,2000,4,24,0,False,False,788.14,,1591900.0,91.09063496198597,720.5,850.45
2000-04-25,ZEETELE,EQ,662.9,609.9,715.95,609.9,715.95,711.75,662.38,4534493,300355714630000.0,893532.0,0.4635,2000,4,25,1,False,False,745.61,,2494963.8,87.72227260571351,662.9,782.45
2000-04-26,ZEETELE,EQ,711.75,763.8,768.7,732.0,768.7,768.7,760.48,3254362,247488745305000.03,893532.0,0.4635,2000,4,26,2,False,False,729.26,,2758051.8,85.12885739343102,711.75,720.5
2000-04-27,ZEETELE,EQ,768.7,768.7,768.7,709.2,710.05,717.15,738.22,3937179,290650021790000.0,893532.0,0.4635,2000,4,27,3,False,False,716.2,,3135310.6,88.7092072134818,768.7,662.9
2000-04-28,ZEETELE,EQ,717.15,721.0,755.0,682.25,720.0,719.8,725.32,6616511,479910839075000.0,893532.0,0.4635,2000,4,28,4,False,False,716.0600000000001,,4346932.0,89.11069645234647,717.15,711.75
2000-05-02,ZEETELE,EQ,719.8,732.65,739.0,633.45,633.45,633.45,681.14,4609811,313994206710000.0,893532.0,0.4635,2000,5,2,1,False,False,710.1700000000001,,4590471.2,86.53573587445447,719.8,768.7
2000-05-03,ZEETELE,EQ,633.45,583.0,613.0,557.45,605.0,598.95,582.87,4392939,256051852865000.0,893532.0,0.4635,2000,5,3,2,False,False,687.61,,4562160.4,73.52615861038856,633.45,717.15
2000-05-04,ZEETELE,EQ,598.95,609.8,669.0,607.8,667.0,666.1,649.99,3949702,256728189115000.0,893532.0,0.4635,2000,5,4,3,False,False,667.0899999999999,,4701228.4,57.63340683434695,598.95,719.8
2000-05-05,ZEETELE,EQ,666.1,678.7,727.9,667.0,687.0,703.25,710.25,5769725,409793091555000.0,893532.0,0.4635,2000,5,5,4,False,False,664.3100000000001,,5067737.6,49.655146594621485,666.1,633.45
2000-05-08,ZEETELE,EQ,703.25,699.0,727.0,647.0,647.0,658.5,699.98,7480500,523621187140000.0,893532.0,0.4635,2000,5,8,0,False,False,652.05,773.0875,5240535.4,49.32874105878296,703.25,598.95
2000-05-09,ZEETELE,EQ,658.5,620.1,718.9,605.85,705.0,707.45,672.26,6433794,432515952980000.0,893532.0,0.4635,2000,5,9,1,False,False,666.8500000000001,760.125,5605332.0,49.21748108593594,658.5,666.1
